,Name,Alcohol,Size,Price,Price_per_liter,Alcohol_per_euro_per_liter
0,Pohjan Poika Viina muovipullo,35.0,0.7,18.99,27.128571428571426,1.29015271195366
0,99 Rosas Organic White Wine 2022 kartonkitölkki,12.5,1.0,9.69,9.69,1.2899896800825594
0,Quinta da Espiga Reserva 2019 muovipullo,13.5,1.0,10.48,10.48,1.2881679389312977
0,Big Mouth Sassy Red hanapakkaus,13.0,3.0,30.29,10.096666666666666,1.2875536480686696
0,Pirkko Shiraz 2020 kartonkitölkki,13.5,1.0,10.49,10.49,1.286939942802669
0,Boca Mar Tinto 2020,14.5,0.75,8.49,11.32,1.2809187279151943
0,Chymos Vadelma Kimara muovipullo,15.0,0.75,8.79,11.719999999999999,1.279863481228669
0,Expedition Chardonnay 2022 muovipullo,14.0,1.0,10.98,10.98,1.2750455373406193
0,Juno Shiraz 2021 kartonkitölkki,14.0,1.0,10.99,10.99,1.2738853503184713
0,Panic Button hanapakkaus,14.0,3.0,32.99,10.996666666666668,1.2731130645650195
0,Viña Albali Verdejo Organic 2022 hanapakkaus,12.5,3.0,29.49,9.83,1.271617497456765
0,Koskenkorva Viina,38.0,0.7,20.98,29.971428571428575,1.2678741658722592
0,Versus White 2022,13.5,0.75,7.99,10.653333333333334,1.26720901126408
0,Katse La Mirada Organic Tempranillo Syrah 2022 hanapakkaus,13.5,3.0,31.99,10.663333333333332,1.2660206314473275
0,Woodie Rosé 2022 kartonkitölkki,13.0,1.0,10.28,10.28,1.2645914396887161
0,Casas Patronales Rosia kartonkitölkki,12.5,1.0,9.90,9.9,1.2626262626262625
0,Highland Reserve,40.0,0.7,22.19,31.700000000000003,1.2618296529968454
0,Haddington House,40.0,0.7,22.19,31.700000000000003,1.2618296529968454
0,Bardinet VSOP,36.0,0.7,19.99,28.557142857142857,1.2606303151575788
0,Bird's Tree Red 2020 hanapakkaus,13.0,3.0,30.98,10.326666666666666,1.2588766946417045
0,Glenwood muovipullo,40.0,1.0,31.90,31.9,1.2539184952978057
0,Espíritu de Chile Sauvignon Blanc 2022,12.5,0.75,7.48,9.973333333333334,1.2533422459893047
0,Grand Sud Merlot Rose 2021,12.5,1.0,9.98,9.98,1.25250501002004
0,Minty Icy Strawberry,25.0,0.5,9.98,19.96,1.25250501002004
0,La Umbra Riesling Italico 2021 kartonkitölkki,13.0,1.0,10.38,10.38,1.2524084778420037
0,Lithuanian Vodka Classic muovipullo,37.5,0.5,14.98,29.96,1.2516688918558077
0,Pearly Bay Dry White kartonkitölkki,12.0,1.0,9.59,9.59,1.251303441084463
0,Pop Up Season Chardonnay 2021 kartonkitölkki,12.5,1.0,9.99,9.99,1.2512512512512513
0,Lobetia Organic Rosé 2021 kartonkitölkki,12.5,1.0,9.99,9.99,1.2512512512512513
0,Espiritu de Chile Fresh & Fruity Sauvignon Blanc kartonkitölkki,12.5,1.0,9.99,9.99,1.2512512512512513
0,Gilbey's Gin,37.5,0.7,20.98,29.971428571428575,1.2511916110581505
0,Winemalia White Bear Blend Sauvignon Blanc Chardonnay 2023 hanapakkaus,12.5,3.0,29.98,9.993333333333334,1.2508338892595063
0,Escapada Branco 2022 hanapakkaus,12.5,3.0,29.98,9.993333333333334,1.2508338892595063
0,Portuga Red 2021 hanapakkaus,12.5,3.0,29.98,9.993333333333334,1.2508338892595063
0,Galodoro Winemaker's Red hanapakkaus,12.5,3.0,29.98,9.993333333333334,1.2508338892595063
0,Setencostas Fresh & Fruity 2022 hanapakkaus,12.5,3.0,29.98,9.993333333333334,1.2508338892595063
0,Gato Negro Chardonnay 2023 hanapakkaus,12.5,3.0,29.98,9.993333333333334,1.2508338892595063
0,Woodie Rosé 2021 hanapakkaus,12.5,3.0,29.98,9.993333333333334,1.2508338892595063
0,Gato Negro Sauvignon Blanc 2023 hanapakkaus,12.5,3.0,29.98,9.993333333333334,1.2508338892595063
0,Johan Freitag Vodka,40.0,0.5,15.99,31.98,1.2507817385866167
0,Lord Calvert muovipullo,40.0,0.7,22.49,32.128571428571426,1.2449977767896845
0,Esbjaerg Vodka,40.0,0.7,22.52,32.17142857142857,1.2433392539964476
0,Passi Reali Organic Passione 2021 hanapakkaus,14.5,3.0,34.99,11.663333333333334,1.2432123463846814
0,Maze Shiraz Cabernet Sauvignon 2021 hanapakkaus,14.5,3.0,34.99,11.663333333333334,1.2432123463846814
0,Barra Oak Bay Dark,37.5,0.7,21.13,30.185714285714287,1.2423095125414103
0,Cape Original Shiraz Cabernet Sauvignon Organic 2021 kartonkitölkki,13.5,1.0,10.89,10.89,1.2396694214876032
0,The Highland Way muovipullo,40.0,1.0,32.27,32.27,1.2395413696932134
0,Espíritu de Chile Cabernet Carmenere Shiraz kartonkitölkki,13.0,1.0,10.49,10.49,1.2392755004766445
0,Expedition Torrontés Chardonnay 2022 kartonkitölkki,13.0,1.0,10.49,10.49,1.2392755004766445
0,Lisbonita 2020 kartonkitölkki,13.0,1.0,10.49,10.49,1.2392755004766445
0,Passento kartonkitölkki,13.0,1.0,10.49,10.49,1.2392755004766445
0,Hardys VR Chardonnay 2022 hanapakkaus,13.0,3.0,31.48,10.493333333333334,1.2388818297331639
0,Rhum Negrita Dark Signature,37.5,0.7,21.19,30.271428571428576,1.238791882963662
0,Liisa Bobal Rosé 2021 kartonkitölkki,12.0,1.0,9.69,9.69,1.238390092879257
0,Piqueras Sauvignon Verdejo 2022 hanapakkaus,12.5,3.0,30.29,10.096666666666666,1.2380323539121822
0,In The Mood Chenin Blanc 2021 hanapakkaus,12.5,3.0,30.29,10.096666666666666,1.2380323539121822
0,Cerro Blanco kartonkitölkki,11.5,1.0,9.29,9.29,1.2378902045209905
0,Courriere Napoleon Finest VSOP,36.0,0.7,20.38,29.114285714285714,1.2365063788027477
0,Koskenkorva Spirit Drink 21% muovipullo,21.0,1.0,16.99,16.99,1.2360211889346675
0,LAB Fresh & Fruity Branco White  2022 hanapakkaus,12.5,3.0,30.34,10.113333333333333,1.2359920896506262
0,2u Duas Uvas Branco White 2022 hanapakkaus,12.5,3.0,30.34,10.113333333333333,1.2359920896506262
0,Crazy Cat Chenin Blanc 2023 hanapakkaus,12.5,3.0,30.34,10.113333333333333,1.2359920896506262
0,LAB Rose 2022 hanapakkaus,12.5,3.0,30.34,10.113333333333333,1.2359920896506262
0,Highland Queen,40.0,0.7,22.69,32.41428571428572,1.2340237990304097
0,Leijona Viina,32.0,0.5,12.98,25.96,1.2326656394453004
0,Gato Negro Rosé 2021 hanapakkaus,12.5,3.0,30.49,10.163333333333332,1.2299114463758611
0,Gato Negro Pinot Noir 2020 muovipullo,13.5,1.0,10.98,10.98,1.2295081967213115
0,Fortuna muovipullo,13.5,1.0,10.98,10.98,1.2295081967213115
0,Sam Barton 5 Years Old,40.0,0.7,22.78,32.542857142857144,1.2291483757682178
0,Bello Organic Vino Rosso 2021 kartonkitölkki,13.5,1.0,10.99,10.99,1.2283894449499544
0,Expedition Cabernet Sauvignon 2022 kartonkitölkki,13.5,1.0,10.99,10.99,1.2283894449499544
0,Icono Selección Especial hanapakkaus,13.5,2.0,21.98,10.99,1.2283894449499544
0,Two Oceans Shiraz 2022 hanapakkaus,13.5,3.0,32.99,10.996666666666668,1.2276447408305546
0,Inception Deep Layered Red 2020 hanapakkaus,13.5,3.0,32.99,10.996666666666668,1.2276447408305546
0,Turtle Dreaming 2021 hanapakkaus,13.5,3.0,32.99,10.996666666666668,1.2276447408305546
0,Neleman Wine in Books Organic Red 2020 hanapakkaus,13.5,3.0,32.99,10.996666666666668,1.2276447408305546
0,Campo Viejo Winemakers' Blend 2020 hanapakkaus,13.5,3.0,32.99,10.996666666666668,1.2276447408305546
0,Hehkuviini,22.0,0.75,13.48,17.973333333333333,1.2240356083086055
0,Petó Organic 2021 hanapakkaus,13.0,3.0,31.88,10.626666666666667,1.2233375156838142
0,Santa Helena Varietal Cabernet Sauvignon 2021,13.0,0.75,7.98,10.64,1.2218045112781954
0,Koskenkorva Viina 30% muovipullo,30.0,0.5,12.28,24.56,1.221498371335505
0,Manos Libre Viura Sauvignon Blanc Organic 2022 hanapakkaus,13.0,3.0,31.94,10.646666666666667,1.2210394489668128
0,Frontera Cabernet Sauvignon 2022 hanapakkaus,12.0,3.0,29.49,9.83,1.2207527975584944
0,Sunrise Sauvignon Blanc Chardonnay 2022 hanapakkaus,12.0,3.0,29.49,9.83,1.2207527975584944
