,Name,Alcohol,Size,Price,Price_per_liter,Alcohol_per_euro_per_liter
0,Castero Trebbiano 2021 kartonkitölkki,13.0,1.0,8.49,8.49,1.531
0,Chef's Selection Tomi Björck Edition Shiraz 2020 hanapakkaus,13.5,3.0,26.90,8.967,1.506
0,Santiago 1541 Syrah Cabernet Malbec 2019 hanapakkaus,12.5,3.0,24.99,8.33,1.501
0,Caravan Rosé 2021 muovipullo,13.0,0.75,6.50,8.667,1.5
0,Adobe Cabernet Sauvignon Merlot 2020 hanapakkaus,13.5,3.0,27.49,9.163,1.473
0,Selfie Oaked Pinotage 2020 kartonkitölkki,14.0,1.0,9.98,9.98,1.403
0,Rosie Rosé 2022 kartonkitölkki,14.0,1.0,9.99,9.99,1.401
0,Kuronen Red 2021 hanapakkaus,14.0,3.0,30.99,10.33,1.355
0,Lobetia Tempranillo Shiraz 2020 kartonkitölkki,13.5,1.0,9.99,9.99,1.351
0,Katse Felidae Organic  2021 muovipullo,13.5,1.0,9.99,9.99,1.351
0,Castillo de Gredos Tinto hanapakkaus,13.0,3.0,28.89,9.63,1.35
0,Tähtiglögi Luomu,15.0,0.75,8.49,11.32,1.325
0,Piqueras Syrah Monastrell 2022 hanapakkaus,14.5,3.0,32.99,10.997,1.319
0,Castillo de Gredos Tinto Organic kartonkitölkki,13.0,1.0,9.98,9.98,1.303
0,Curiosity Tempranillo 2020 hanapakkaus,13.0,3.0,29.98,9.993,1.301
0,Liisa Muscat Sauvignon Blanc kartonkitölkki,13.0,1.0,9.99,9.99,1.301
0,Espiritu de Chile Viajero Shiraz Cabernet 2023 kartonkitölkki,13.0,1.0,9.99,9.99,1.301
0,Rajaton Harmonia 2021 hanapakkaus,13.0,3.0,29.98,9.993,1.301
0,Mosaic Blanco kartonkitölkki,11.5,1.0,8.89,8.89,1.294
0,Gustoso Vino Rosso Organico 2019 hanapakkaus,12.5,3.0,28.99,9.663,1.294
0,The Big Zin Zinfandel 2020 hanapakkaus,14.0,3.0,32.49,10.83,1.293
0,Cerro Tinto kartonkitölkki,12.5,1.0,9.68,9.68,1.291
0,Contramaestre Syrah Tempranillo Garnacha Organic 2021 hanapakkaus,13.5,3.0,31.40,10.467,1.29
0,Casa Santos Lima Red Blend Portugal 2022 hanapakkaus,13.5,3.0,31.48,10.493,1.287
0,Ícaro Tinto 2022 hanapakkaus,13.5,3.0,31.48,10.493,1.287
0,Smooth Escape Shiraz Cabernet 2022 kartonkitölkki,13.5,1.0,10.49,10.49,1.287
0,Castillo de Anna Appasanto Tempranillo hanapakkaus,13.5,3.0,31.48,10.493,1.287
0,Lounge Wine Merlot 2021 kartonkitölkki,11.5,1.0,8.99,8.99,1.279
0,Johan Freitag Vodka,40.0,0.5,15.64,31.28,1.279
0,Castano Ecologico Monastrell 2021 hanapakkaus,14.0,3.0,32.90,10.967,1.277
0,Chill Out Cabernet Sauvignon Australia 2022 hanapakkaus,14.0,3.0,32.99,10.997,1.273
