#{"t_start": 1702135273.983355, "env_id": "None"}
r,l,t
-1.858,75,0.294268
-197.232,842,0.596543
-19.912,252,0.689628
-1.183,57,0.709646
-4.588,145,0.766724
-36.577,317,0.879827
-12.035,227,0.962903
-8.205,157,1.785651
-12.69,253,1.894751
-1.246,62,1.921776
-42.191,424,2.077919
-30.393,312,2.188019
-1.008,60,2.210039
-21.991,273,2.307127
-0.748,47,2.324143
-0.996,54,2.34316
-0.981,56,2.363178
-28.281,285,2.466272
-4.294,161,2.523324
-314.762,1005,3.71641
-18.836,246,3.805492
-6.208,137,3.854537
-1.449,63,3.878558
-6.014,132,3.930606
-1.601,70,3.957631
-1.145,63,3.980651
-1.275,61,4.002671
-1.848,71,4.027694
-1.147,60,4.049714
-17.998,222,4.862454
-539.122,1420,5.382929
-281.364,975,6.518464
-5.337,121,6.566509
-1.472,64,6.592532
-107.931,640,6.825745
-466.073,1247,8.038849
-6.219,134,8.091401
-1.078,56,8.11242
-0.779,49,8.129436
-38.245,333,8.252548
-22.978,309,8.36565
-7.105,146,8.417698
-1.045,57,8.437716
-117.204,791,9.501685
-579.362,1430,10.038174
-1.329,65,10.061195
-413.596,1167,11.254281
-11.4,178,11.317339
-1.597,66,11.34036
-0.952,54,11.360378
-1.21,60,11.382398
-23.553,253,11.474482
-6.132,142,11.52753
-9.456,168,11.587585
-6.575,202,11.662653
-25.773,387,12.573483
-1.253,67,12.604511
-49.451,456,12.774666
-25.043,324,12.887769
-27.051,317,13.000873
-1.26,65,13.026896
-17.827,231,13.117979
-7.611,152,13.176032
-1.423,62,13.201055
-73.766,528,14.174941
-58.783,400,14.322075
-31.016,325,14.452194
-14.02,295,14.560292
-108.574,624,15.655289
-186.351,790,15.962569
-1.341,58,15.983588
-4.276,105,16.022624
-1.561,61,16.046646
-110.994,746,16.3259
-46.329,433,17.25425
-1.705,65,17.282275
-173.149,766,17.564533
-1.465,65,17.588555
-1.479,70,17.61658
-9.858,200,17.688646
-261.386,918,18.763624
-512.985,1349,19.269086
-10.215,166,19.32914
-249.933,885,20.398114
-19.386,213,20.475184
-129.23,689,20.717405
-62.488,397,20.856531
-20.406,286,21.693293
-1.433,60,21.719316
-1.636,63,21.747342
-52.471,488,21.935514
-9.417,155,21.991565
-36.347,340,22.110673
-22.492,228,22.201756
-3.21,96,22.235787
-24.042,267,22.329873
-1.92,68,22.353895
-18.735,245,23.186653
-0.815,46,23.206671
-1.219,60,23.233696
-1.512,66,23.25972
-2.371,73,23.291749
-1.492,64,23.317772
-1.464,59,23.342796
-1.555,62,23.364816
-22.861,265,23.459902
-37.117,325,23.584015
-25.47,245,23.671094
-26.704,275,23.768183
-1.357,58,23.789202
-76.389,524,24.791115
-1.437,62,24.81914
-2.034,71,24.855172
-1.31,58,24.882197
-1.422,64,24.908221
-22.789,263,25.002307
-1.456,66,25.025328
-293.507,943,25.369642
-1.185,55,25.390661
-12.423,174,25.463727
-2.576,78,25.493755
-1.162,53,26.392573
-6.983,134,26.459634
-21.308,243,26.582746
-228.766,867,26.924561
-51.158,416,27.088711
-1.475,69,27.113733
-1.065,58,27.134752
-2.477,80,27.16478
-9.635,158,27.23084
-2.13,69,28.089622
-1.043,59,28.117647
-3.234,144,28.180705
-1.653,67,28.215737
-1.138,65,28.250769
-592.561,1362,28.811279
-714.315,1465,30.100453
-6.095,126,30.149498
-1.633,63,30.174521
-515.455,1260,31.437671
-1.08,51,31.456689
-145.165,730,31.717927
-0.862,59,31.738946
-1.755,71,31.763969
-81.907,547,31.965152
-1.509,61,32.721841
-1.316,59,32.744862
-4.319,161,32.811923
-51.181,460,32.98408
-11.11,166,33.045135
-8.964,164,33.104189
-1.153,57,33.125208
-1.343,57,33.145226
-1.709,66,33.169249
-1.075,60,33.191269
-5.79,177,33.256327
-27.799,287,33.365427
-2.405,75,33.393453
-1.58,65,33.418475
-29.731,322,34.492454
-9.782,173,34.580533
-1.348,62,34.611562
-1.179,60,34.636585
-14.862,215,34.73067
-1.596,66,34.758695
-1.434,65,34.783719
-27.509,280,34.888814
-1.337,70,34.924847
-8.986,149,34.997913
-1.77,71,35.031945
-1.323,60,35.061972
-133.279,669,36.233039
-1.073,56,36.261064
-990.693,1793,36.982736
-1.663,71,37.008759
-47.365,374,37.89857
-26.613,327,38.029689
-838.105,1619,39.407944
-1.29,62,39.43597
-7.208,141,39.492021
-2.412,82,39.526052
-40.399,348,39.653168
-14.379,195,39.723232
-10.801,170,39.783287
-63.311,427,39.935425
-1.448,65,39.959447
-45.074,348,40.082559
-0.782,50,40.822232
-1.142,55,40.846254
-1.497,59,40.872278
-4.48,108,40.917319
-1.899,69,40.945344
-24.435,261,41.045436
-4.428,110,41.085472
-41.432,323,41.206583
-76.61,534,41.397757
-1.354,61,41.424781
-7.704,141,41.480832
-18.278,218,41.560905
-459.651,1121,42.753992
-0.749,53,42.77401
-1.647,68,42.799033
-8.529,156,42.854083
-2.002,70,42.879106
-4.652,126,42.924147
-0.041,106,42.962182
-31.573,290,43.064275
-1.704,65,43.087296
-8.637,160,43.889529
-1.59,64,43.915552
-6.557,153,43.979611
-1.397,61,44.004633
-85.173,500,44.191804
-1.45,61,44.217828
-234.706,849,44.524107
-1.166,56,44.544125
-2.05,74,44.571149
-2.13,70,44.596172
-21.573,248,45.405918
-1.031,56,45.428939
-1.38,64,45.454962
-1166.674,1920,46.870252
-50.435,445,47.042408
-1.902,70,47.067431
-139.473,680,47.308651
-7.622,158,47.366704
-49.375,455,47.541863
-1.55,68,48.323575
-1.422,60,48.347597
-357.173,1117,48.763976
-1.281,62,48.786997
-12.169,172,48.849054
-5.935,142,48.903103
-0.836,49,48.92112
-1.219,62,48.943139
-1.94,70,48.968162
-1.44,76,48.996188
-1.387,63,49.019209
-188.871,877,50.056153
-1.594,63,50.079174
-22.751,234,50.164252
-2.299,74,50.192277
-19.689,218,50.27235
-0.981,49,50.290367
-180.732,839,51.301791
-0.851,53,51.323811
-1.374,64,51.350836
-15.517,197,51.430908
-7.961,150,51.485959
-23.841,258,51.578043
-1.429,59,51.601063
-28.607,273,51.699165
-48.398,366,51.830284
-11.751,173,51.89134
-7.949,157,51.94639
-5.386,131,51.992432
-1.582,62,52.733107
-15.361,200,52.818183
-2.313,76,52.850213
-37.671,333,52.981333
-6.481,150,53.034381
-1.318,56,53.0554
-5.601,137,53.104445
-1.228,63,53.127465
-2.663,82,53.156492
-12.004,169,53.216547
-78.675,558,53.419732
-1.236,57,53.440751
-6.436,152,54.199944
-24.768,245,54.304039
-2.698,81,54.336068
-45.188,426,54.495213
-12.747,170,54.556269
-12.455,183,54.622329
-64.121,476,54.793485
-1.119,60,54.815505
-109.228,634,55.799401
-1.295,58,55.823422
-8.191,146,55.880475
-0.747,53,55.902495
-11.271,170,55.964551
-9.89,177,56.02861
-1.512,58,56.05063
-3.028,90,56.082659
-11.934,170,56.144716
-148.062,687,56.392942
-2.324,75,56.419966
-8.57,198,57.201678
-26.634,271,57.314781
-12.501,179,57.385846
-277.731,829,57.678112
-1.637,68,57.703135
-1.717,67,57.727157
-10.534,172,57.789213
-4.528,107,57.827248
-0.815,55,57.847266
-1.054,59,57.868285
-31.522,312,58.703045
-149.733,691,58.964283
-1.56,65,58.988305
-13.411,190,59.055366
-15.261,202,59.127432
-21.562,233,59.210508
-1.464,59,59.231527
-1.958,70,59.25755
-1.33,59,59.278569
-1.345,56,59.298588
-6.096,124,59.342628
-1.287,54,59.361645
-15.937,194,60.143357
-152.357,703,60.412602
-1.313,59,60.433622
-1.26,53,60.452639
-11.882,171,60.512693
-22.699,254,60.603777
-288.84,922,61.657736
-1.768,65,61.68376
-43.277,322,61.806872
-28.102,266,61.899957
-10.479,174,61.963015
-2.355,74,61.989038
-1.307,64,62.012059
-40.382,319,62.124161
-14.354,187,62.190221
-1.349,57,62.211241
-0.788,53,62.231259
-1.318,60,62.253278
-6.905,192,63.026984
-1.837,74,63.057011
-1.87,68,63.084035
-23.061,240,63.181123
-5.276,125,63.23117
-1.977,68,63.256192
-1.893,66,63.279213
-28.975,280,63.378304
-8.255,151,63.436357
-1.433,65,63.460378
-1.104,50,63.478395
-9.649,170,63.53945
-12.871,179,63.602508
-1.569,59,63.623527
-2.057,71,63.64955
-1.762,65,63.672571
-107.855,589,64.621938
-1141.49,1823,65.989184
-24.538,304,66.110294
-26.85,271,66.214389
-1.932,65,66.238411
-19.681,220,66.317482
-2.1,72,66.343507
-275.146,885,66.655294
-20.812,228,67.459033
-2.287,74,67.48806
-5.492,117,67.535103
-5.095,178,67.608169
-653.429,1489,68.137162
-34.843,303,68.972425
-294.017,910,69.309744
-53.618,420,69.457878
-1.373,66,69.4819
-1.345,61,69.504921
-0.891,54,69.524939
-77.938,475,70.431765
-0.743,54,70.454786
-1.99,76,70.486815
-1.474,64,70.511837
-1.693,62,70.537862
-1.731,62,70.562884
-7.836,147,70.620441
-11.338,175,70.682498
-51.497,384,70.820623
-26.047,268,70.914709
-23.96,245,71.000787
-1.243,53,71.019805
-1.136,55,71.039823
-69.396,422,71.910621
-55.158,445,72.082778
-11.355,160,72.140334
-1.786,66,72.164356
-22.839,252,72.253941
-5.532,123,72.298982
-46.241,383,72.432607
-1.12,54,72.452625
-1.537,64,72.475646
-1.62,69,72.500669
-1.146,57,72.521688
-9.881,159,72.577739
-8.71,154,73.356448
-36.089,302,73.476557
-2.597,76,73.508587
-1.079,55,73.53111
-16.151,202,73.603175
-1.174,60,73.624699
-1.832,69,73.649722
-404.433,1129,74.052088
-6.288,130,74.800778
-2.136,77,74.831805
-1.953,71,74.860832
-68.775,497,75.050507
-1.416,61,75.072527
-26.519,264,75.166613
-0.724,51,75.18563
-35.132,290,75.29123
-2.83,90,75.325261
-15.099,195,75.396326
-1.404,56,75.417345
-8.992,150,75.470393
-5.5,110,75.509429
-1.333,61,75.53245
-530.9,1234,76.684499
-4.628,157,76.74055
-1.476,65,76.764572
-130.539,616,76.98177
-8.403,151,77.759554
-0.993,57,77.781498
-183.431,769,78.073764
-25.596,317,78.185867
-0.981,52,78.204884
-3.453,94,78.237914
-16.9,267,78.333
-29.813,280,78.433092
-5.64,117,79.2038
-1.814,69,79.232826
-1.551,63,79.260852
-2.247,73,79.292881
-20.423,229,79.387968
-47.96,364,79.518598
-32.357,277,79.618689
-11.481,168,79.678744
-492.057,1256,80.856816
-1.219,63,80.880839
-1.06,55,80.900857
-1.661,60,80.921876
-5.095,108,80.959911
-112.088,583,81.166099
-52.912,395,81.31023
-30.781,289,81.412323
-1.444,56,82.166009
-15.403,186,82.24408
-1.83,65,82.273107
-7.95,136,82.332166
-278.148,898,82.662475
-234.116,845,83.72696
-24.563,245,83.831055
-14.716,184,83.905123
-14.864,190,83.975187
-126.08,620,84.2094
-42.884,333,84.328509
-121.231,525,85.290385
-200.505,771,85.60367
-23.991,252,85.693752
-6.398,130,85.741795
-7.348,131,85.788838
-95.012,582,86.006037
-1.429,60,86.780754
-1.4,64,86.808833
-213.968,801,87.120567
-1.156,57,87.142587
-2.971,87,87.174616
-1.275,57,87.195636
-1.195,54,87.216655
-1.199,53,87.236177
-62.633,415,87.39332
-249.27,815,88.430785
-19.305,232,88.515863
-1.725,67,88.539885
-76.97,487,88.712042
-21.114,238,88.805126
-1.401,58,88.826145
-22.143,238,88.909221
-10.357,157,88.965272
-5.387,118,89.008311
-17.641,213,89.803035
-1.413,57,89.827057
-5.221,118,89.8741
-1.376,64,89.902125
-8.829,150,89.960179
-1.78,67,89.985201
-1.341,62,90.010224
-1.391,64,90.033749
-6.542,188,90.101314
-13.356,190,90.169384
-6.329,125,90.213424
-2.496,77,90.24245
-6.297,127,90.288557
-8.313,143,90.339089
-1.128,61,90.362063
-255.654,842,91.431551
-11.274,219,91.511624
-40.838,337,91.629732
-1.611,66,91.652753
-1.161,56,91.672771
-10.889,165,91.732826
-61.724,437,91.893973
-2043.037,2412,94.179087
-14.057,191,94.254155
-97.4,647,94.490873
-5.75,119,94.531911
-278.853,932,94.860209
-8.061,137,95.665969
-1.163,58,95.690991
-59.568,458,95.877161
-5.894,117,95.9192
-14.35,186,95.988263
-10.313,166,96.052321
-4.704,101,96.088354
-2.072,77,96.115378
-4.898,104,96.152412
-0.788,52,96.17143
-1.433,58,96.191448
-1.554,64,96.214469
-8.366,141,96.265515
-68.541,407,96.421657
-10.253,159,97.255417
-60.762,486,97.466609
-1.307,59,97.490631
-1.089,56,97.510649
-1.346,60,97.532669
-4.76,141,97.587719
-23.045,315,97.702824
-41.624,344,97.827938
-129.101,632,98.924937
-1.825,73,98.961971
-1.601,71,98.996002
-1.612,64,99.026029
-32.012,289,99.139132
-348.041,998,99.514474
-4.682,105,99.553509
-831.711,1492,100.955787
-1.512,58,100.979808
-0.932,52,101.001829
-32.01,282,101.109927
-1.519,60,101.13495
-11.878,169,101.196006
-1.498,61,101.219027
-1.485,61,101.241048
-18.398,232,102.162886
-2.27,76,102.193914
-0.97,53,102.216935
-11.79,179,102.295006
-32.384,296,102.403105
-1.672,65,102.43013
-16.051,192,102.503196
-27.175,272,102.600285
-1.168,53,102.619302
-1.447,60,102.65033
-1.097,61,102.68236
-277.018,876,103.821397
-1.475,64,103.849422
-1.901,68,103.876447
-1.673,70,103.905473
-21.182,297,104.021579
-8.086,159,104.084637
-11.131,163,104.145692
-1.406,60,104.168713
-0.876,52,104.189732
-1.366,58,104.213754
-87.143,571,104.419942
-19.933,224,105.273719
-880.787,1570,105.910299
-1.662,61,105.938325
-0.99,53,105.959344
-8.32,135,106.017397
-7.076,130,106.066441
-134.225,659,107.131411
-64.775,500,107.318582
-0.801,50,107.336598
-104.226,561,107.561803
-2.111,72,107.587827
-7.574,138,107.639874
-9.33,143,108.464625
-37.8,313,108.596746
-0.647,53,108.618766
-3892.906,3215,110.733202
-1.428,59,110.755222
-35.49,304,110.865322
-2201.017,2382,113.361613
-27.455,239,113.456699
-17.077,210,113.539776
-1.006,55,113.561796
-1.019,56,113.583816
-1.899,67,113.609839
-20.105,252,113.706928
-26.243,346,113.842051
-0.542,57,113.862069
-5.969,118,113.908111
-11.347,162,113.967165
-10.222,148,114.020213
-20.882,258,114.868986
-71.862,466,115.06016
-243.7,818,115.365438
-1.938,66,115.393464
-1.823,64,115.419488
-1.015,57,115.440507
-1.188,55,115.460525
-1.363,63,115.484547
-1.317,73,115.510571
-11.485,164,115.568624
-1.045,50,115.58664
-30.478,292,116.460436
-1.595,62,116.48746
-0.928,59,116.513483
-1.085,58,116.539507
-56.715,358,116.678634
-2.127,70,116.70666
-1.77,61,116.72868
-1.525,66,116.758707
-1.15,58,116.781728
-6.26,124,116.826769
-20.705,291,116.936869
-633.37,1410,118.221039
-2.16,75,118.248064
-0.769,54,118.267081
-11.412,175,118.331139
-1.354,58,118.353159
-2.049,69,118.382185
-22.81,254,118.481276
-8.455,144,118.535325
-1.485,69,118.560853
-59.156,377,119.443661
-9.827,252,119.549759
-16.761,226,119.642843
-2.049,73,119.669868
-1.555,59,119.690887
-1.156,56,119.710906
-33.688,286,119.813999
-310.577,947,120.168322
-1.806,65,120.194345
-36.719,489,121.144216
-12.731,169,121.211278
-7.955,136,121.262324
-12.732,229,121.348403
-9.174,147,121.403452
-37.499,390,121.548585
-1.536,61,121.570605
-17.63,213,121.649677
-13.228,209,121.728749
-64.636,364,122.683123
-8.273,269,122.790221
-2.985,135,122.838265
-37.182,321,122.950367
-5.075,105,122.988402
-1.732,64,123.015426
-6.85,127,123.062469
-1.275,60,123.08449
-9.304,163,123.141541
-11.11,173,123.2056
-1.71,61,123.22762
-129.331,676,124.251552
-19.487,201,124.329623
-11.381,165,124.39168
-5.185,135,124.445729
-1.643,65,124.472754
-179.657,927,124.80906
-1.138,53,124.830079
-8.826,153,125.63281
-10.122,151,125.694866
-46.264,344,125.835995
-1.671,67,125.861018
-1.185,63,125.886041
-26.968,249,125.979125
-8.174,146,126.031173
-2.543,78,126.060199
-5.405,112,126.100236
-5.063,105,126.140272
-854.213,1533,127.520529
-0.613,56,127.540547
-218.784,798,127.834816
-361.766,950,129.101969
-7.54,145,129.169031
-1.423,63,129.197056
-594.33,1308,130.540294
-1.172,56,130.566318
-0.955,56,130.593343
-1.457,58,130.619366
-4.802,112,130.669412
-1.409,69,130.70044
-5.472,107,130.740477
-88.157,543,130.942661
-68.308,410,131.092798
-223.517,823,132.164774
-2.52,86,132.200807
-307.646,933,132.543118
-39.839,306,132.656222
-23.627,224,132.736295
-5.709,112,132.776331
-7.469,150,133.561045
-6.025,125,133.614094
-1.348,74,133.646123
-1.582,60,133.672147
-24.389,263,133.781246
-20.786,246,133.871328
-11.234,163,133.931383
-1.065,59,133.956406
-187.42,731,134.216643
-22.077,241,134.307726
-1.293,60,134.331748
-91.811,503,135.269602
-7.889,139,135.326654
-8.322,149,135.39972
-31.949,296,135.518829
-2.161,73,135.547855
-38.303,312,135.666964
-12.094,181,135.732023
-8.894,147,135.789075
-1.018,59,135.812096
-26.083,253,136.675882
-1.96,67,136.702907
-13.788,179,136.78198
-1.591,66,136.810004
-1.693,62,136.839031
-25.174,271,136.94713
-2582.122,2667,138.690718
-1.309,65,138.71474
-7.287,135,138.765786
-1.475,62,138.787806
-22.172,252,138.875886
-1.26,60,138.896906
-26.415,269,139.801729
-38.696,322,139.936852
-2.199,76,139.96688
-19.116,261,140.063969
-6.501,125,140.111012
-20.213,216,140.192085
-275.432,965,141.379166
-1.801,65,141.406191
-177.47,760,141.709467
-3.888,124,141.754508
-26.907,271,141.852598
-0.939,58,141.873617
-21.517,247,141.963699
-1.044,56,141.986719
-64.764,439,142.921073
-51.81,355,143.071209
-141.982,598,143.298417
-103.914,824,143.594686
-1.261,58,143.615705
-6.103,123,143.659746
-1.482,65,143.682766
-80.887,493,144.645644
-22.006,271,144.745735
-1.884,70,144.770757
-7.01,124,144.821804
-2.214,74,144.852832
-19.513,214,144.931904
-2.463,77,144.962933
-1.351,60,144.984953
-1.88,71,145.010976
-0.973,48,145.028992
-470.494,1113,146.204063
-3.215,90,146.236092
-15.733,206,146.309159
-21.666,220,146.388231
-2.045,75,146.418258
-2.017,69,146.443281
-1.693,62,146.465301
-11.553,235,146.549377
-1.546,65,146.573399
-1.443,59,146.594418
-96.251,633,147.618351
-5.736,119,147.673401
-1.137,54,147.696421
-31.508,281,147.808524
-28.022,274,147.912619
-39.289,353,148.046741
-21.806,388,148.185868
-7.033,136,148.233912
-1.922,67,148.259935
-7.621,194,149.085687
-678.315,1356,149.646198
-1.87,64,149.671221
-1.803,71,149.697244
-8.587,171,149.761303
-150.333,689,150.849294
-2.192,75,150.882323
-10.32,173,150.946382
-11.89,173,151.011441
-1.89,66,151.035463
-1.362,74,151.063489
-1.511,66,151.089512
-28.677,279,151.189604
-19.729,209,151.267674
-69.149,411,151.418812
-4.786,103,151.455846
-9.041,153,152.287603
-18.604,254,152.390697
-76.238,450,152.565857
-1.341,57,152.587877
-7.876,134,152.637426
-23.548,243,152.726507
-1.776,64,152.750528
-54.573,371,152.886653
-0.95,56,152.906671
-0.709,59,152.928691
-229.832,802,153.987655
-19.808,239,154.075736
-2.446,95,154.109766
-16.239,231,154.192842
-1.103,59,154.214863
-2.076,73,154.240886
-1.861,71,154.26691
-1.363,57,154.287929
-17.57,245,154.376009
-49.495,434,154.53115
-1569.459,2112,156.770189
-1.732,62,156.797214
-62.375,486,156.99039
-19.842,258,157.090481
-17.934,200,157.16555
-86.225,540,157.365732
-2.456,75,157.392756
-28.351,254,157.482839
-3.55,139,158.252539
-2.17,68,158.282567
-1.222,76,158.314596
-12.985,205,158.401675
-1.114,57,158.427699
-0.585,59,158.451721
-65.86,505,158.643896
-5.185,108,158.682932
-0.568,52,158.701949
-0.844,50,158.721967
-54.899,367,158.864097
-0.631,58,158.885116
-1.142,57,158.906135
-1335.071,1933,160.394491
-0.902,65,160.420514
-29.438,287,160.522607
-113.648,550,161.491489
-179.605,796,161.784757
-0.701,67,161.808779
-8.569,145,161.860826
-0.797,55,161.882846
-1.796,71,161.907869
-28.292,292,162.015967
-1.837,70,162.042992
-1.854,68,162.072019
-8.848,141,162.867743
-1.651,63,162.895768
-0.792,60,162.922793
-1.415,66,162.950818
-1.021,50,162.970837
-7.704,130,163.025887
-1.632,90,163.062422
-1.012,50,163.080439
-0.95,54,163.100457
-9.473,160,163.159511
-1.232,66,163.182532
-0.706,58,163.203551
-10.83,178,163.266608
-5.145,111,163.306645
-10.65,158,163.369703
-1.689,72,163.396726
-1.912,65,163.420748
-19.976,270,163.516836
-1.866,65,163.539857
-160.069,792,164.592816
-2573.793,2675,166.386046
-580.442,1326,167.633182
-1.838,66,167.657203
-5.137,294,167.766303
-0.319,49,167.784319
-12.954,174,167.848377
-1.76,62,167.871398
-7.629,129,167.919442
-20.949,333,168.03755
-0.495,61,168.063574
-1.1,70,168.089597
-0.737,76,168.122627
-0.593,61,168.148651
-0.361,48,168.166668
-1124.188,1719,169.576952
-2003.758,2386,171.235462
-1.645,60,171.256482
-412.735,1110,172.460578
-1.517,57,172.481597
-1.853,64,172.505619
-19.591,252,172.599705
-1.451,78,172.62773
-1314.078,2097,174.153624
-5.191,108,174.195662
-1.642,60,174.217682
-6.71,186,174.283742
-1.447,55,174.303761
-1.515,58,174.32478
-0.874,60,175.109495
-217.009,825,175.435792
-0.938,53,175.45581
-1.126,75,175.482835
-6.834,130,175.530878
-11.383,164,175.592934
-2.053,72,175.62096
-0.605,56,175.64198
-0.862,64,175.670005
-510.345,1236,176.892118
-1.334,54,176.912136
-34.281,351,177.039252
-2.059,73,177.065276
-1.617,58,177.090298
-0.239,55,177.111318
-3.743,93,177.144348
-183.979,775,178.206315
-1.871,63,178.23434
-1.667,60,178.259363
-8.954,156,178.320418
-1.12,63,178.345441
-1.143,59,178.369463
-44.736,347,178.499582
-5.016,115,178.54162
-6.506,144,178.595669
-5.851,116,178.638709
-1.04,57,178.660729
-1.482,112,178.701766
-20.858,258,178.795852
-8.39,147,178.847899
-0.971,61,178.87092
-246.67,851,179.959912
-112.598,597,180.193124
-2.167,68,180.226155
-2.214,71,180.259184
-1.432,59,180.285208
-11.057,233,180.388302
-17.235,236,180.490395
-1.103,64,180.515417
-13.372,167,181.355183
-2.038,69,181.385209
-17.228,387,181.548359
-742.906,1426,182.077841
-251.004,861,183.18585
-1.224,76,183.213876
-2.079,75,183.241901
-7.467,133,183.298456
-1.497,76,183.326483
-2.295,137,183.377529
-1.432,95,183.417566
-2.128,73,183.446592
-0.852,70,183.473616
-46.746,391,183.617748
-0.17,49,183.634763
-1.566,66,183.658785
-6.228,115,184.466521
-0.97,67,184.494546
-201.098,844,184.819842
-18.808,267,184.914929
-0.347,60,184.939951
-0.903,61,184.963974
-6.526,119,185.007012
-37.691,317,185.130125
-21.05,257,185.230216
-795.068,1603,186.643503
-2.277,76,186.674531
-76.035,546,187.697463
-3.041,87,187.735497
-5.043,105,187.781539
-2.259,74,187.815571
-1.891,62,187.837591
-1.784,65,187.861613
-0.404,57,187.882632
-146.848,722,188.15588
-39.984,474,188.329039
-824.118,1623,189.757339
-0.375,53,189.78036
-48.099,342,189.910479
-1.588,60,189.933499
-1.814,68,189.959523
-1.311,55,189.979541
-1.693,93,190.782272
-0.11,59,190.806294
-1.025,62,190.832318
-19.13,256,190.932409
-0.152,49,190.952427
-10.457,161,191.013483
-0.566,60,191.035503
-0.683,95,191.071536
-719.553,1495,192.38273
-597.827,1465,192.925224
-8.762,156,192.980274
-0.339,54,193.000292
-0.579,58,193.024314
-1.571,68,193.051339
-0.467,56,193.815537
-1.563,58,193.841561
-0.126,56,193.864582
-14.602,193,193.941652
-247.3,893,194.270952
-0.074,52,194.290971
-2.338,75,194.317995
-7.304,123,194.364037
-1.056,117,194.406075
-9.016,149,194.461125
-14.117,238,194.550206
-0.472,55,194.571225
-1.71,61,195.324912
-41.422,350,195.46604
-113.604,636,195.701255
-1.723,61,195.723275
-411.813,1112,196.879328
-139.831,828,197.192613
-7.544,133,197.239656
-302.587,973,198.345663
-86.567,469,198.538839
-1.042,53,198.558857
-0.496,62,198.580877
-151.745,591,198.794072
-0.725,69,198.818093
-1.276,65,198.842115
-200.081,802,199.863045
-11.214,169,199.930106
-25.83,342,200.057222
-2.196,77,200.084247
-3.33,177,200.146303
-46.172,348,200.268414
-3.111,155,200.328469
-1.733,60,200.350489
-8.349,184,200.414547
-14.565,401,200.561681
-0.397,54,201.346396
-1.735,61,201.371418
-28.748,260,201.478516
-0.979,49,201.500536
-44.48,439,201.659681
-1.784,73,201.685705
-67.745,425,201.836843
-21.897,613,202.056042
-19.587,255,202.884797
-478.869,1175,203.321195
-1.034,167,203.380248
-6.793,123,203.42529
-1682.865,2147,204.93717
-0.199,48,204.955186
-1.849,65,204.980209
-1.36,57,205.000227
-4.708,105,205.038262
-91.872,579,205.989128
-1066.082,1713,207.322341
-7.161,131,207.37639
-1.604,62,207.401414
-27.841,481,207.57357
-1.549,62,207.595591
-6.384,129,207.641633
-2.113,77,207.670659
-0.203,54,207.690677
-1.309,64,207.713698
-0.438,60,207.734718
-8.026,131,207.780759
-661.82,1446,209.041908
-2.05,66,209.06593
-46.127,320,209.179033
-96.976,588,209.389224
-0.41,75,209.41725
-8.874,143,209.469297
-10.527,169,210.276031
-6.718,203,210.36211
-6.733,122,210.411155
-0.727,64,210.435177
-18.48,537,210.628353
-265.557,852,210.929627
-0.461,56,210.951647
-5474.942,4157,213.957888
-0.118,54,214.710075
-47.386,539,214.928274
-1.688,61,214.950294
-0.148,59,214.972314
-1.897,73,215.00034
-0.314,77,215.027364
-1.596,57,215.048383
-0.386,54,215.068402
-0.165,53,215.089421
-1.291,54,215.109439
4.532,342,215.234553
-1.515,58,215.256573
-0.407,55,215.276592
-0.788,59,215.298611
-5.956,112,215.338648
-43.451,333,215.460759
-0.95,60,216.238467
-5.011,147,216.302526
-1.734,66,216.330551
-1.586,85,216.366584
-15.917,259,216.469678
-0.386,67,216.494701
-15.036,246,216.586784
-18.905,265,216.684874
-6.566,191,216.759942
-1.778,61,216.782963
-55.746,384,216.926094
-4.168,164,216.984147
-555.117,1445,218.264313
-6.29,204,218.33838
-0.886,73,218.366405
-1.708,69,218.391428
-0.631,76,218.421455
-0.622,51,218.440472
-547.621,1454,219.712631
-1.704,102,219.750666
-0.879,57,219.770684
-0.148,72,219.799711
-24.881,357,219.929829
-9.453,161,219.988883
-1.936,64,220.749576
-6.368,127,220.806628
-0.777,49,220.828647
-692.557,1740,221.455219
-2.397,76,221.482243
-2.363,75,222.241935
-2.529,78,222.274965
-1.397,60,222.300989
-0.17,58,222.325011
-2.932,154,222.392072
-56.998,524,222.596258
-10.638,151,222.651308
-151.09,714,222.912546
-0.835,84,222.942573
-1.329,61,222.965594
-31.263,289,223.827379
-1.96,136,223.88343
-1.385,55,223.907451
-46.497,330,224.034568
-19.038,251,224.128653
-1.902,69,224.156679
-2.785,136,224.208726
-0.714,54,224.228744
3.588,406,224.376879
-11.171,173,224.437935
-8.293,131,224.485482
-1.853,63,224.507502
-109.23,654,225.530434
-32.127,295,225.64754
-643.582,1291,226.908689
-7.334,128,226.962738
