#{"t_start": 1674319025.7187526, "env_id": null}
r,l,t
-39.2165,2,2.227026
-38.365466,5,2.228027
-39.69301,2,2.229028
-39.26726,2,2.230029
-39.918669,2,2.230029
-39.8,1,2.23103
-38.773934,5,2.232031
-39.8,1,2.233032
-39.8,1,2.233032
-39.8,1,2.233032
-39.8,1,2.234032
-39.8,1,2.234032
-38.481906,7,2.236034
-38.946416,7,2.239037
-39.459276,4,2.240038
-37.545466,7,2.242039
-39.419811,3,2.24304
-39.8,1,2.24304
-38.196347,7,2.246043
-38.913296,4,2.247044
-39.277143,4,2.248045
-39.404418,3,2.249046
-37.952743,6,2.251048
-38.301456,5,2.25305
-39.425684,9,2.255052
-39.8,1,2.256053
-39.4,3,2.257053
-34.889248,22,2.26406
-39.464183,2,2.26406
-39.8,1,2.265061
-39.8,1,2.265061
-39.8,1,2.266062
-39.857264,2,2.267062
-39.8,1,2.267062
-39.598967,11,2.270065
-38.506508,5,2.272067
-39.239435,2,2.273068
-39.42,3,2.274069
-39.8,1,2.274069
-39.956502,2,2.27507
-39.42,3,2.276071
-36.018047,10,2.279073
-39.8,1,2.280074
-39.638127,4,2.281076
-39.41153,3,2.282076
-39.875416,10,2.285079
-39.234488,2,2.28608
-39.8,1,2.28608
-36.689096,13,2.290084
-39.414926,3,2.291085
-39.8,1,2.292085
-39.488404,4,2.293086
-39.540735,2,2.294087
-39.971659,14,2.298091
-39.8,1,2.298091
-37.430462,8,2.301094
-38.74725,5,2.303095
-39.8,1,2.303095
-39.4,3,2.304096
-39.8,1,2.305097
-39.42,3,2.306098
-39.8,1,2.306098
-39.409851,3,2.307099
-39.8,1,2.307099
-37.044458,10,2.311103
-39.141827,4,2.312104
-39.407761,3,2.313104
-39.8,1,2.313104
-37.345016,10,2.317108
-39.412279,3,2.318109
-39.858101,2,2.31911
-37.778508,9,2.322112
-39.418222,3,2.323114
-39.792626,2,2.323114
-37.939023,6,2.325115
-39.409851,3,2.326116
-39.337258,2,2.327117
-39.215856,7,2.33012
-39.724351,6,2.332122
-38.340258,9,2.335124
-39.8,1,2.335124
-39.8,1,2.335124
-38.549941,7,2.338127
-39.8,1,2.338127
-39.793776,5,2.340129
-39.8,1,2.340129
-39.883976,7,2.343131
-36.255251,19,2.349137
-39.8,1,2.349137
-39.8,1,2.350138
-39.583357,5,2.351139
-39.128119,6,2.353141
-39.8,1,2.354141
-39.8,1,2.354141
-39.3203,2,2.355143
-37.345548,9,2.358145
-39.8,1,2.358145
-38.224226,5,2.360147
-39.874295,2,2.361148
-38.892532,4,2.362149
-39.55242,4,2.36315
