#{"t_start": 1702145932.301192, "env_id": "None"}
r,l,t
-0.7337,149,0.369336
155.2911,228,0.44941
-5.8084,410,0.599546
-0.1362,61,0.623568
-0.5608,125,0.674614
-0.1087,58,0.696635
-0.1055,59,0.718655
-0.6386,140,0.7687
-1.9341,242,0.856284
-0.1719,73,0.885311
84.8032,198,0.959883
-0.131,65,0.985907
443.9702,693,2.323125
1803.8812,1347,2.808567
-5.1926,410,3.811481
-0.0807,53,3.838505
1422.3458,1317,4.424039
121.2657,238,4.509116
1664.216,999,5.925406
-0.1383,68,5.95143
-5.0334,393,6.099565
1277.3418,925,7.310668
-0.2575,91,7.351705
122.5386,376,7.51085
-0.1232,59,7.53287
-0.12,58,7.55489
-0.1137,64,7.577911
448.0215,453,7.743062
599.1903,945,9.036744
-0.2452,94,9.07678
1783.7417,715,9.357035
-2.6424,277,9.462131
-3.0451,307,9.573232
244.5046,446,9.739383
-0.1242,57,9.761404
266.7063,717,10.979513
976.7555,814,11.276784
-0.2286,81,11.306811
1602.5327,1201,12.635021
-0.0975,53,12.655039
-0.094,57,12.677059
-2.4357,270,12.774148
-0.1416,59,12.795167
-0.1258,59,12.817187
-0.563,131,12.86423
1270.5839,938,14.07884
-1.1967,186,14.163918
213.3283,528,14.3641
127.6278,196,14.438167
354.2505,412,14.593309
