#{"t_start": 1702137509.600338, "env_id": "None"}
r,l,t
-1.483,68,0.29627
-8.377,161,0.370337
-109.607,652,0.639583
-23.621,257,0.736671
-1.24,59,0.759692
-1.423,66,0.783714
-15.372,366,0.92184
-238.903,1635,2.319112
-8.955,170,2.379167
-1.184,65,2.403189
-52.473,561,2.604372
-23.196,447,3.529214
-2.504,88,3.566248
-93.58,664,3.857513
-22.608,265,3.953601
-2.303,82,3.983628
-1.166,59,4.00665
-1.149,59,4.027668
-1486.492,2327,5.634131
-1.237,61,5.658153
-4.233,272,6.534951
-31.477,405,6.695098
-5.835,138,6.747145
-15.716,212,6.823215
-0.78,51,6.841231
-32.747,410,6.99437
-1.21,59,7.015389
-2.334,260,7.116482
-8.928,238,7.207564
-521.017,1524,8.527767
-1.537,65,8.551789
-8.859,158,8.608841
-7.497,145,8.661889
-43.514,544,9.595739
-0.826,49,9.615758
-24.638,294,9.729862
-1431.624,2387,11.369355
-0.901,54,11.390374
-1.287,64,11.413395
-71.694,601,11.626589
-0.782,50,11.646607
-13.966,456,12.598474
2.291,149,12.662532
-33.55,411,12.820677
-10.685,281,12.924275
-172.424,985,13.286604
-1.561,64,14.075322
-1.51,64,14.103348
-100.957,672,14.3796
-22.074,271,14.477689
-8.39,323,14.601802
-1.173,63,14.625824
-505.628,1493,15.92801
-3.372,167,15.992069
-1.219,60,16.01609
-31.032,415,16.165226
-141.342,775,17.184154
-40.998,353,17.327284
-284.574,1285,17.79471
8.256,281,18.722555
-34.949,336,18.867687
-295.655,1082,19.274058
-1.478,68,19.301082
-117.401,717,20.390074
-0.78,50,20.412094
-1.486,67,20.443123
-1.494,69,20.475152
-5.893,133,20.532203
-729.195,1901,22.100632
-86.419,837,22.420923
-1.0,56,22.441943
2.853,155,22.502998
-6.327,258,22.598085
-1.025,55,22.618103
-1.047,62,22.641124
-1796.764,2945,25.457192
-1.092,58,25.480213
2.01,106,25.520249
-0.651,56,25.541268
-24.815,291,25.651368
-282.785,1168,26.996601
-0.857,64,27.025627
-19.58,262,27.126223
-22.059,275,27.228315
-4.958,197,27.303384
-9.526,179,27.370445
-1.461,72,27.399471
-179.081,865,28.60557
-1.03,66,28.637599
-26.548,322,28.777727
-21.662,465,28.957891
-19.149,234,29.046972
-1.371,65,29.070994
-0.961,50,29.08901
-23.345,388,29.229138
-30.883,316,30.282097
-0.887,59,30.307119
-10.255,190,30.388193
-1.029,59,30.414217
-7.256,147,30.477275
-134.185,802,30.785555
6.201,274,30.896656
-19.597,253,30.991743
-0.801,60,31.013763
-42.195,426,32.001663
-25.234,434,32.171818
-1.193,64,32.19584
-71.122,665,32.445067
-127.119,889,33.654168
-16.731,224,33.756766
-1.543,67,33.789795
-1.633,70,33.820823
-4.623,141,33.873872
-918.91,2314,35.645988
-2.125,80,35.679019
-4.276,122,35.727062
-242.723,1069,37.022242
3.639,199,37.10832
-1.086,60,37.13034
-246.016,1128,37.534708
-12.678,326,37.661824
-1.365,64,37.694854
-20.813,968,38.97253
-8.07,156,39.037588
0.589,196,39.115659
-9.71,176,39.18172
-65.117,533,39.3799
-15.227,233,40.29173
-11.117,186,40.38982
-120.633,772,40.685089
-1.408,69,40.711112
-20.125,246,40.803197
-0.806,53,40.824215
-172.785,865,41.98227
-19.214,408,42.158431
-2.144,230,42.24551
-31.489,322,42.374628
-1.644,156,42.432681
-72.213,551,42.644874
-29.134,306,43.614757
-37.44,350,43.764894
-37.47,505,43.971082
-1.493,281,44.091191
0.272,233,44.183275
-10.498,183,44.267352
-97.663,821,45.428913
-15.193,405,45.586057
-1.06,57,45.607075
1.606,89,45.640106
-116.249,855,45.99643
1.549,200,46.901254
-73.056,607,47.184512
-0.896,71,47.21454
-4.995,121,47.260581
1.754,126,47.309626
-42.426,370,47.44575
-0.881,64,47.475778
-4.517,127,47.525823
3.07,93,47.560855
-1.122,58,47.582875
-0.941,54,47.604895
-17.938,232,48.51072
-36.748,325,48.651848
-107.986,580,48.876053
-143.146,759,49.197345
-217.934,991,50.388431
-17.628,259,50.492526
-13.663,226,50.589614
-43.843,369,50.73975
-5.776,132,50.791797
-1.252,61,50.813818
-24.202,304,50.92692
-0.85,54,50.94794
-0.866,52,51.812727
-87.636,828,52.163046
-14.334,211,52.247123
-53.994,445,52.418279
-150.954,804,53.621374
-80.28,602,53.861593
-84.807,615,54.092804
-3.641,117,54.138846
-38.158,465,55.080704
-63.04,583,55.335438
-1.125,57,55.356457
0.782,160,55.417513
-15.619,215,55.502591
-1.44,252,55.594674
-14.508,227,55.678751
-1.003,56,55.700771
-0.886,69,55.725794
-0.962,52,55.745812
-0.733,68,55.773838
-1.776,67,55.802864
-19.068,268,56.770745
-9.724,154,56.84181
-7.733,148,56.913875
-8.851,267,57.033985
-3.973,114,57.084031
-4.292,310,57.211146
-0.832,51,57.232166
-7.243,150,57.288217
-1.073,71,57.31424
-25.03,285,57.436352
-1.948,68,57.465378
-10.441,173,57.528435
-25.648,412,58.464288
-19.642,240,58.572386
-19.54,260,58.669475
-7.171,152,58.72953
-1.771,65,58.754552
-0.213,201,58.830622
-10.757,354,58.986267
-38.395,352,59.119388
-0.792,59,59.144411
-17.825,219,60.058243
-150.59,961,60.429581
-330.795,1447,61.75679
-8.984,156,61.815844
-556.531,1564,63.118029
-847.855,1887,63.826675
46.295,368,64.758523
-35.822,360,64.903655
-1.181,54,64.922673
-0.481,60,64.945694
-155.826,1186,65.379593
-25.22,274,66.249386
-109.075,792,66.552662
-110.01,741,66.828913
-115.318,724,67.855848
-1.411,73,67.886877
-0.876,61,67.910899
-35.334,324,68.027004
-22.179,255,68.118087
-22.334,267,68.219179
-5.479,137,68.268224
-1.03,65,68.291245
-0.578,48,68.309261
-0.94,53,68.328279
-0.784,67,68.353302
-0.289,251,68.445385
-8.043,170,69.271137
-39.133,348,69.41727
-0.345,52,69.437289
-66.666,607,69.656489
-13.498,183,69.72455
-117.643,782,70.771503
-125.501,570,71.009721
-7.892,161,71.072778
-0.604,56,71.093798
-43.29,511,71.279967
-1.289,56,71.299985
-5.099,137,71.352033
-11.724,326,71.472142
-0.508,59,71.493161
-22.491,251,72.343936
-14.306,188,72.424009
-12.882,197,72.50208
-1.447,55,72.522098
-10.44,239,72.616184
-1.716,63,72.639205
-0.831,57,72.659224
-1.512,59,72.681243
-67.868,604,72.912454
-6.028,139,72.964501
-1.502,66,72.989524
-6.666,164,73.047578
-13.099,212,73.923374
-0.607,55,73.948397
-1.986,145,74.012455
-141.997,718,74.29171
