#{"t_start": 1702208495.430637, "env_id": "None"}
r,l,t
-10.004,60,0.272248
-10.0038,58,0.293267
-10.02,296,0.404368
-10.0043,59,0.426388
-10.0241,374,0.558518
-9.7412,2088,1.998838
-9.8591,890,2.30912
-10.0038,58,2.330139
-10.0034,54,2.349157
-9.6313,475,3.209939
-9.866,979,3.626318
-10.0042,62,3.648338
-10.0118,175,3.710395
-10.0172,247,3.797474
-10.0047,71,3.823497
-10.0088,132,3.869539
-10.0035,59,3.89156
-10.003,53,4.63774
-10.0066,125,4.691789
-10.0293,430,4.888969
-10.0051,63,4.916994
-10.0244,333,5.039105
-10.0037,59,5.064128
-10.008,132,5.111171
-9.8459,731,5.368405
-10.0231,335,6.206669
-10.0036,54,6.22969
-10.0071,132,6.28374
-10.0031,53,6.305759
-10.0049,60,6.329782
-10.0255,411,6.474914
-10.0046,61,6.497934
-10.0028,57,6.517953
-9.8538,806,6.804213
-10.016,255,7.606943
-9.8143,220,7.693021
-10.023,349,7.826143
-9.6754,1104,8.213495
-10.0192,283,8.312585
-10.0051,72,9.039246
-9.8509,758,9.330511
9.996,57,9.35153
-10.006,81,9.380556
-10.0038,56,9.400575
-10.0031,60,9.422595
9.9954,61,9.444615
-10.0148,216,9.520684
-10.005,75,9.546708
-10.0046,63,9.569729
-10.0164,240,9.654806
-10.0034,66,9.677827
-10.0051,83,9.707855
-9.8363,535,10.60217
-10.0048,60,10.628193
-10.008,113,10.674235
-10.004,63,10.698258
-10.004,58,10.719277
-10.0041,60,10.807357
-10.0035,64,10.830378
-10.02,292,10.933472
-10.0068,92,10.965501
-10.0136,194,11.033563
-10.0152,183,11.100624
-10.0028,56,11.120642
-10.0036,53,11.139659
9.9953,69,11.164682
-10.0056,93,11.197712
-10.0045,75,11.224736
-10.0085,136,11.27278
-10.0105,164,12.013453
9.9935,89,12.050488
9.9972,56,12.072507
-10.0204,311,12.193618
-10.018,269,12.288704
-9.8181,274,12.384792
-10.0045,59,12.406812
-10.0036,58,12.42783
-10.0039,58,12.44885
-10.0131,178,12.511907
-10.0157,187,12.576967
-10.0043,62,12.598986
-10.0046,66,12.623008
-10.0262,388,13.449262
-10.0044,67,13.476287
-10.0045,61,13.50231
-10.0089,156,13.566368
-10.0135,191,13.636432
-10.0035,54,13.65545
-10.0038,56,13.675468
-9.8291,420,13.822601
-10.0047,58,13.844621
-10.0042,52,13.862638
-10.0123,186,13.928698
9.9953,66,13.951719
-10.0037,55,13.971737
-10.0049,63,14.083839
-9.8199,305,14.192938
-10.0038,66,14.21696
-10.0185,262,14.994667
-10.005,68,15.025695
-10.0213,285,15.12879
-10.0263,371,15.260413
-10.0241,366,15.388529
-10.0073,98,15.423561
-10.0039,58,15.443579
-10.0041,56,15.464598
-10.0093,136,15.512642
-10.0118,160,15.568693
-10.0043,53,15.587711
-10.0042,60,15.60973
10.1863,189,16.351405
-10.0113,154,16.41246
-10.005,61,16.436482
-10.0119,179,16.502542
-10.0034,55,16.52256
-10.0036,58,16.54358
-10.0044,58,16.564599
-10.0089,126,16.608639
-10.0104,152,16.662688
-10.0036,56,16.682706
-9.8264,341,16.801815
-10.0047,59,16.822834
-10.0066,92,16.855864
-10.0041,59,16.876883
-10.0097,140,16.925928
-10.0116,166,16.984982
-10.0098,126,17.029022
-10.0287,384,17.862779
-10.0291,369,18.043945
-10.0104,141,18.092989
-10.004,54,18.113008
-10.0045,61,18.135027
-10.0045,61,18.157048
-10.0052,61,18.178066
-10.0053,64,18.201087
9.9959,65,18.225109
-10.0269,364,18.352225
-10.0159,211,18.426292
10.1657,460,19.269058
-9.8303,394,19.427203
-9.8643,841,19.722471
-10.031,407,19.866602
-10.0102,147,19.919651
-10.0038,56,19.939669
-10.0044,58,19.960688
-10.0097,134,20.687349
-10.006,73,20.719378
-9.84,541,20.926567
9.9952,63,20.949587
-10.0045,56,20.969606
9.9946,79,20.997631
-10.0252,342,21.11774
-10.0039,57,21.13876
-10.0045,56,21.195812
-10.0107,165,21.253864
-10.0036,58,21.274884
-10.004,58,21.295903
-10.0264,357,21.421016
-10.005,67,22.139669
-10.004,63,22.16269
-10.0281,386,22.314829
9.9948,70,22.341854
-10.0056,73,22.367878
-10.0197,279,22.465967
-10.0063,87,22.496995
-10.0077,104,22.534029
-10.0248,365,22.662145
-10.0072,120,22.705184
-10.0063,90,22.737214
-10.0061,89,22.769243
-10.0149,219,22.846313
-10.0041,63,22.869334
-10.0051,62,23.561465
-10.025,341,23.689581
9.9956,65,23.716606
-10.0036,53,23.736624
-10.0042,55,23.755642
-10.0134,173,23.817698
-10.0058,72,23.842721
-10.0048,62,23.865742
-10.0037,52,23.883759
-10.0085,102,23.920792
-10.0177,260,24.011875
-10.0113,151,24.064923
-9.8159,222,24.142994
-10.0051,62,24.165015
10.1902,132,24.212057
-10.021,281,25.020793
-10.0199,262,25.179472
-10.0127,153,25.233522
-10.0198,257,25.324604
-10.0237,292,25.427698
-10.0048,55,25.447716
-10.0042,59,25.468736
-10.0088,126,25.513777
9.9953,67,25.538799
-10.0084,105,25.575833
-10.027,361,25.702949
-10.0056,66,25.72697
-10.0172,212,26.529706
-10.0039,57,26.554728
-10.0032,56,26.578751
-10.0042,57,26.603774
-10.0047,60,26.627796
-10.0048,59,26.652817
-10.0057,71,26.680843
-10.0045,61,26.706867
-10.0045,58,26.727886
-10.0053,62,26.749907
-9.8454,578,26.953091
-10.0242,312,27.062191
-10.0287,342,27.187304
-10.0079,124,27.231344
-9.8109,141,27.981043
-10.0051,67,28.008067
-9.8471,585,28.233775
-10.0042,58,28.254794
10.1869,178,28.317852
-10.0035,56,28.338871
-9.8202,282,28.475996
-10.0272,364,28.603111
-10.0035,61,28.625131
-10.0038,59,28.646151
-10.0174,217,28.72222
-10.0189,233,29.505932
-10.0068,88,29.537961
-10.0327,418,29.689099
-10.0086,127,29.733139
-10.029,373,29.864259
-10.0047,57,29.884277
-10.0118,164,29.942329
-10.027,335,30.05994
-10.0225,272,30.155026
-10.0039,62,30.88219
9.9951,69,30.912217
9.9959,64,30.938241
-10.0152,202,31.016312
-10.0041,57,31.039333
9.9962,56,31.060352
-10.0044,56,31.08037
10.1893,153,31.13442
-10.0044,57,31.155439
-10.0074,104,31.192473
-10.0041,59,31.213491
-10.0051,57,31.234511
-10.0052,65,31.257532
-10.0038,62,31.279552
-10.0042,64,31.302573
-10.0204,269,31.39866
-10.0039,58,31.419679
-9.8139,186,31.485739
-10.0039,56,31.505758
-10.0041,53,31.524775
-10.0043,59,31.545794
-10.0071,123,31.590835
-10.0042,53,31.609852
-10.0047,59,31.632873
-9.8181,246,32.425594
-10.0225,299,32.546704
-10.0053,62,32.569725
-10.0047,61,32.591745
-10.0171,210,32.665813
-10.008,116,32.70685
10.1915,112,32.745885
-10.0048,60,32.768409
-10.0042,64,32.79043
-10.0092,143,32.841476
-10.0051,68,32.865498
-10.0039,56,32.885516
-10.0208,296,32.990612
-10.0143,201,33.060676
-10.004,54,33.080694
-10.0042,56,33.810357
-9.818,239,33.907445
-10.0211,273,34.016545
-9.8347,449,34.173688
9.9958,55,34.193707
-10.012,154,34.248756
-10.0318,418,34.394889
10.1884,148,34.447937
-10.0445,601,35.367781
-9.8343,464,35.536935
10.1872,157,35.64103
9.9947,66,35.665051
-10.0054,68,35.689073
-10.0059,92,35.722104
-10.0043,63,35.745125
-10.0183,252,35.833205
-10.0049,63,35.856225
-10.0189,256,35.946307
-10.0053,65,35.970329
-10.0171,234,36.744033
-10.0035,55,36.766053
-10.0073,118,36.816099
-10.011,156,36.882158
-10.0035,57,36.905179
-10.012,187,36.971756
9.9969,59,36.992775
-10.005,61,37.015305
-10.0058,71,37.040321
-10.0046,60,37.062341
-10.0036,58,37.083361
-10.0311,440,37.237501
-10.0041,65,37.260522
-10.0071,95,37.294553
9.9952,68,37.318574
