#{"t_start": 1702149658.1085234, "env_id": "None"}
r,l,t
-0.5548,129,0.34031
-0.3539,104,0.397362
114.9902,275,0.545497
-0.1425,65,0.58153
-0.13025,63,0.617562
-0.6301,141,0.694633
-0.1275,66,0.730665
-0.16795,76,0.772704
-0.1095,58,0.804733
43.33405,142,0.882804
37.4011,133,0.95487
127.46275,326,1.133032
131.66335,378,1.344224
284.05155,377,2.439221
-0.0967,55,2.472252
381.5726,455,2.718476
-0.096,54,2.748504
1782.56375,980,3.288996
193.94245,415,4.363975
-0.1033,57,4.397004
106.68125,204,4.511109
-0.1215,59,4.544139
1062.6983,997,5.167707
-0.10315,56,5.199736
32.5899,114,5.262793
-0.12265,61,5.296825
454.93955,709,6.536954
-0.1063,59,6.569984
137.53765,244,6.703105
873.78345,830,7.153516
-0.1218,66,7.19055
102.7356,289,7.346692
-0.37835,103,7.403744
-0.1416,60,8.275537
141.46115,345,8.488731
-0.2277,83,8.534774
-0.11285,59,8.569806
151.7299,326,8.746967
35.42485,129,8.818032
244.39615,395,9.038233
36.39995,134,9.111299
-0.12035,63,9.146331
-0.1348,61,9.180362
-0.12455,60,9.213392
-0.13975,65,9.249424
-0.27615,88,9.300472
102.00835,268,10.291877
-0.1362,62,10.32791
-0.14435,65,10.37195
-0.3103,96,10.433006
-0.3574,103,10.494062
90.1337,235,10.622179
-0.14525,68,10.660213
-0.31875,96,10.713261
325.9402,516,10.993517
-0.32435,96,11.045564
108.20795,202,11.155664
-0.15785,68,11.192698
57.4595,172,11.286784
-0.1591,67,11.323817
38.89625,137,11.398886
-0.32445,98,12.297704
428.80705,681,12.679052
84.11435,235,12.807168
52.6258,161,12.894248
-0.09505,53,12.923274
364.1266,553,13.220545
-0.14795,70,13.258579
-0.1334,64,13.293612
92.9307,283,14.275506
-0.1661,71,14.319546
-0.08605,58,14.355578
-0.1418,65,14.399619
329.15195,496,14.684879
135.58095,338,14.869047
-0.13005,60,14.903078
20.31375,146,14.98215
-0.1546,66,15.019183
52.88405,184,15.119275
420.5495,603,16.324372
60.4073,176,16.430469
-0.10975,57,16.461497
51.15285,163,16.551579
-0.11795,61,16.58561
45.2872,145,16.664682
4859.175,1281,17.359315
-0.14735,64,18.251641
-0.19765,77,18.300685
-0.1098,59,18.339721
-0.2592,90,18.394771
99.5719,161,18.486855
-0.12275,57,18.518884
129.35515,332,18.70005
135.461,319,18.884217
-0.1506,67,18.921251
-0.15895,69,18.960287
127.14515,287,19.202507
-0.11205,56,19.233536
15.92535,129,19.3046
-0.10175,60,19.337631
-0.0926,57,19.36966
41.2768,143,19.44673
-0.1209,58,20.328035
5393.98735,2004,21.447055
4207.7044,1789,23.30775
-0.15025,63,23.343783
-0.1106,58,23.375812
79.51545,240,24.435777
69.7063,156,24.53887
-0.1613,72,24.583912
-0.1431,64,24.619945
-0.11275,58,24.714031
57.9173,175,24.810118
-0.12645,61,24.844149
-0.15055,63,24.87818
-0.15625,64,24.913212
2182.79145,1297,26.515672
28.60285,112,26.588737
48.1959,151,26.685827
126.6591,316,26.861987
-0.13475,67,26.900022
-0.11875,60,26.934052
-0.14905,64,26.970086
-0.1145,56,27.001114
47.288,150,27.083188
98.13945,260,27.224317
43.69625,153,27.308393
120.476,241,27.439512
-0.1115,60,27.472543
35.3855,129,27.542607
-0.1318,69,27.581643
-0.3448,105,27.639695
42.7192,145,28.603573
356.7643,485,28.909853
-0.108,59,28.956895
-0.10475,53,28.987923
-0.09745,53,29.019952
-0.1293,62,29.063993
-0.12255,63,29.099024
-0.1012,58,29.131054
-0.10935,56,29.162082
-0.14185,63,29.197114
-0.13515,63,29.232146
172.39255,276,29.392292
-0.11955,60,29.426323
1355.52205,1787,31.305537
-0.093,60,31.338567
50.0274,157,31.424645
61.6389,228,31.548759
142.4169,241,31.679878
-0.1202,61,31.71491
339.30075,475,32.84594
-0.12275,58,32.877969
144.67185,288,33.035112
-0.1223,60,33.068143
103.96045,212,33.184248
-0.10125,53,33.214276
-0.1419,65,33.250309
-0.14125,62,33.28534
652.88655,818,33.729745
-0.1494,63,34.629564
36.4341,128,34.709638
-0.18075,70,34.762686
1249.0691,1046,35.341213
42.37095,139,35.417282
156.0931,297,35.586436
-0.1481,64,35.621468
620.0557,732,36.926657
351.1393,557,37.22593
-0.13445,64,37.260962
-0.11835,62,37.294992
-0.09305,54,37.32502
22.16905,99,37.379069
-0.06965,50,37.407094
-0.1581,66,37.443127
-0.09025,52,37.471153
-0.11125,58,37.503182
-0.11255,59,37.535211
-0.247,85,37.582254
1654.30825,888,38.932484
-0.13065,62,38.966515
-0.0936,56,38.998544
-0.1368,66,39.034577
-0.14155,62,39.069609
674.8146,732,39.534536
-0.11385,57,39.566565
301.17465,340,39.751734
60.8733,183,40.682083
116.5685,294,40.857243
157.8981,271,41.005378
-0.1279,65,41.041411
-0.11095,64,41.076443
-0.12425,62,41.110474
-0.12195,61,41.144505
-0.1276,62,41.179537
55.0367,172,41.272621
-0.43435,112,41.334678
-0.11925,56,41.364705
319.4251,378,41.570893
-0.1195,60,41.603923
56.04215,168,41.696007
-0.1494,65,41.73204
52.63515,164,42.681905
-0.128,62,42.718939
-0.0984,52,42.749967
-0.14205,63,42.787001
333.5409,501,43.068257
-0.11275,63,43.102288
-0.1318,64,43.138321
-0.11235,59,43.17035
707.2659,585,43.48864
-0.1339,64,43.523672
89.59795,232,43.650788
-0.13175,61,43.683818
-0.14745,61,43.717849
388.1671,701,44.978997
150.9824,362,45.175176
-0.09865,55,45.206204
-0.1269,61,45.239234
-0.3681,101,45.295286
581.0003,865,45.764713
-0.2373,83,46.653522
-0.14865,65,46.691557
113.33815,220,46.819674
35.45695,126,46.89174
1557.3693,950,47.409211
-0.13285,61,47.443242
100.00365,261,47.584371
27.95195,125,47.653434
-0.0954,54,47.685463
-0.1311,64,47.720495
-0.1295,62,47.755527
131.15515,341,48.823499
-0.1389,64,48.860533
-0.1234,62,48.895565
75.0625,206,49.007667
-0.12595,62,49.041698
-0.1234,62,49.075729
-0.15,70,49.114764
-0.16775,68,49.156803
123.3998,320,49.334965
77.968,296,49.499115
-0.17255,73,49.539151
-0.12855,62,49.573182
-0.14675,65,49.610216
158.18945,424,50.827828
-0.12925,64,50.870867
107.88495,278,51.045025
-0.12595,61,51.079057
-0.15935,68,51.120094
-0.1063,56,51.152123
38.7628,141,51.232196
48.69495,158,51.320276
348.9503,473,51.589522
-0.13095,62,51.624553
455.3818,565,51.941842
-0.13355,64,52.873691
243.07635,435,53.144938
-0.1315,61,53.179971
57.35975,181,53.282063
-0.15195,66,53.319097
-0.123,65,53.356131
-0.12545,61,53.390162
-0.2764,90,53.440207
-0.14755,64,53.475239
-0.1022,56,53.507268
-0.1145,60,53.5423
-0.24425,82,53.588342
2895.60865,1849,55.533113
209.98145,324,55.711276
193.80665,324,55.889438
16.00355,122,55.956499
141.1854,328,57.041487
62.3355,189,57.158594
-0.1076,58,57.194627
48.95555,233,57.325746
121.4939,322,57.509914
-0.0957,58,57.541943
-0.11485,58,57.574973
53.5729,165,57.666056
104.8659,268,57.812189
-0.0777,53,57.841216
680.00105,750,59.099362
-0.11595,63,59.140399
143.07,231,59.278525
-0.09145,53,59.308552
-0.18045,72,59.350591
-0.1065,64,59.39363
148.4097,244,59.532757
-0.0947,54,59.563785
-0.13605,64,59.599818
-0.11385,58,59.630846
-0.2245,81,59.675887
-0.11125,58,59.707916
-0.14765,65,59.743949
35.43545,120,59.81101
-0.1102,59,59.843039
32.9629,119,59.908099
231.467,371,60.110283
-0.142,62,60.979074
-0.10745,56,61.024115
-0.14015,61,61.06315
73.2354,204,61.181258
151.2245,255,61.319888
48.64985,153,61.403965
130.0142,397,61.622163
-0.1065,57,61.654192
109.39255,205,61.766294
-0.14675,64,61.802327
-0.12025,56,61.835357
49.43755,166,61.926441
-0.11475,61,61.960471
34.94245,123,62.027532
30.9836,116,62.09059
-0.1104,57,62.122619
-0.14705,65,63.004421
-0.10325,63,63.042456
-0.10275,59,63.07949
70.84115,210,63.204605
-0.13715,62,63.238636
-0.1003,61,63.272666
-0.11795,55,63.302694
72.64605,206,63.415797
-0.14035,69,63.453832
972.947,799,63.898236
-0.26515,86,63.94628
136.43755,349,64.99023
-0.09865,52,65.023261
-0.3838,114,65.092324
993.66215,777,65.521715
139.8319,340,65.705883
-0.10465,62,65.738913
573.3818,566,66.042189
-0.1181,57,66.073218
-0.1588,66,67.015075
39.3253,140,67.103155
103.19395,271,67.265303
-0.0739,59,67.298334
258.5339,336,67.479498
274.50355,640,67.830818
-0.09285,51,67.859845
-0.2548,93,67.90989
75.17615,321,68.084049
-0.1011,60,68.117079
-0.14855,62,68.15111
-0.09355,54,69.086963
-0.10765,61,69.124997
-0.1017,62,69.164032
-0.1328,56,69.201066
38.84255,137,69.285143
-0.0991,61,69.32618
69.02315,208,69.44629
-0.1024,55,69.477318
38.204,144,69.554388
55.59645,166,69.64447
-0.14445,63,69.681007
-0.1789,69,69.723046
168.3659,411,69.944247
-0.0957,53,69.973274
78.3407,215,70.089379
-0.15315,65,70.124411
107.86215,211,71.087288
116.614,204,71.214404
-0.1321,65,71.254943
-0.08645,52,71.28497
-0.1077,57,71.315999
125.80235,322,71.496163
344.74165,383,71.704352
663.83125,671,72.066683
37.8578,134,72.138748
-0.12375,63,72.17378
-0.10985,56,72.204808
273.78305,426,73.319824
-0.12135,57,73.351853
-0.90605,164,73.443937
49.22555,155,73.529014
-0.24185,87,73.575056
-0.1445,60,73.608086
-0.134,62,73.642117
41.76135,147,73.721189
252.7128,375,73.933383
-0.1456,64,73.969416
83.33615,228,74.095531
-0.19715,76,74.139571
-0.0997,54,74.179607
298.43405,521,75.506816
-0.14805,64,75.542849
-0.1804,75,75.584887
-0.10865,59,75.617917
-0.11305,64,75.65395
281.87985,449,75.904178
345.29775,435,76.155407
