#{"t_start": 1702215195.37333, "env_id": "None"}
r,l,t
-10.0,54,0.27525
-10.0,149,0.333303
-10.0,128,0.378344
-10.0,207,0.452412
-10.0,248,0.540492
-10.0,180,0.60455
-10.0,76,0.631575
-10.0,58,0.652594
-10.0,239,0.737671
-10.0,61,0.759691
-9.0,1055,1.904236
-10.0,55,1.925254
-10.0,241,2.012334
-10.0,250,2.101415
-10.0,124,2.145455
-10.0,65,2.168476
-10.0,383,2.305601
-10.0,89,2.336629
-10.0,59,2.358649
-10.0,64,2.38167
-9.0,429,3.262655
-10.0,380,3.417796
-10.0,64,3.440817
-10.0,136,3.489861
-10.0,108,3.527896
-10.0,66,3.551918
-10.0,66,3.703055
-8.0,1306,4.906149
-10.0,286,5.03827
10.0,66,5.061291
-10.0,172,5.123347
-9.0,98,5.158379
-10.0,151,5.212428
-8.0,1331,6.472574
-10.0,59,6.498598
-10.0,216,6.582674
-10.0,379,6.717798
-10.0,330,6.835905
-10.0,179,6.899963
-10.0,66,6.923985
-10.0,91,6.956014
11.0,251,7.120163
10.0,63,7.143184
-9.0,214,7.945914
-9.0,791,8.268208
10.0,67,8.29223
-10.0,60,8.313249
-10.0,180,8.377307
-9.0,467,8.550464
10.0,67,8.574486
-10.0,67,8.599509
-10.0,85,8.629536
-10.0,152,8.691593
-9.0,359,9.671987
-9.0,564,9.890733
-9.0,765,10.171008
-10.0,56,10.191026
-9.0,433,11.079348
-10.0,65,11.107373
-9.0,272,11.218474
-10.0,157,11.280531
-10.0,89,11.312561
-10.0,98,11.449685
-10.0,72,11.475709
-8.0,1065,11.857056
-9.0,193,12.678313
-9.0,621,12.92654
-10.0,64,12.949561
-10.0,79,12.977586
-10.0,69,13.002609
-10.0,180,13.067668
-10.0,65,13.09169
-10.0,55,13.111708
-10.0,53,13.130726
-10.0,357,13.257841
-9.0,374,13.391963
11.0,250,14.201699
-9.0,192,14.278769
11.0,252,14.376859
-9.0,1027,14.79624
-10.0,270,14.892832
-10.0,187,15.66904
-10.0,59,15.695064
-10.0,271,15.804163
-9.0,649,16.036375
-10.0,336,16.155483
-10.0,57,16.176503
-8.0,1376,17.386603
-10.0,202,17.458669
-8.0,1141,18.55967
-8.0,946,18.920999
10.0,57,18.942018
-10.0,178,19.005075
-10.0,57,19.026094
-10.0,60,19.048115
-10.0,119,19.091154
-10.0,278,19.195248
-10.0,143,19.247296
-10.0,448,20.138608
-10.0,106,20.182648
-10.0,66,20.208672
-9.0,1069,20.594023
-10.0,62,20.616043
-10.0,105,20.655078
-10.0,59,20.676097
-9.0,194,20.74516
-10.0,58,20.766179
-10.0,61,20.788199
-10.0,155,21.563904
-10.0,58,21.588927
-9.0,192,21.666998
-10.0,65,21.694023
-10.0,300,21.801121
-10.0,280,21.900715
-10.0,239,21.985792
-10.0,119,22.031834
-10.0,58,22.053854
-9.0,482,22.22501
-10.0,149,23.000715
-9.0,723,23.282972
-10.0,68,23.306994
-10.0,262,23.40208
-9.0,195,23.472144
-10.0,60,23.496166
-10.0,58,23.518186
-10.0,69,23.543209
-10.0,123,23.587249
-10.0,111,23.626284
-10.0,61,23.648304
-9.0,853,24.735293
-10.0,209,24.810361
-9.0,687,25.057586
11.0,212,25.133655
-10.0,184,25.198715
-10.0,68,25.223737
-10.0,60,25.245757
-10.0,293,26.072509
-10.0,412,26.229652
10.0,61,26.251672
-9.0,553,26.44685
-10.0,156,26.502901
-10.0,147,26.554948
-5.0,1228,27.729016
-10.0,199,27.800081
-10.0,210,27.875149
-9.0,908,28.927105
-10.0,58,28.951128
10.0,56,28.972147
-10.0,60,28.997169
-8.0,969,29.3605
-10.0,65,29.383521
-10.0,58,29.40454
-10.0,62,29.427561
-10.0,125,29.471601
-10.0,121,29.51464
-10.0,339,29.635751
