#{"t_start": 1702140034.4223015, "env_id": "None"}
r,l,t
-8.021,227,0.341311
-5.189,177,0.404368
42.7535,463,0.58253
-0.783,67,0.616562
167.992,777,0.913335
-0.5565,57,0.934354
-0.762,65,0.96338
-0.551,56,0.983399
-11.4725,260,1.857194
-0.6175,62,1.88522
-8.53,337,2.028351
-48.5665,1019,2.4117
-0.526,55,2.432719
39.821,399,2.575849
349.66,2524,5.13268
17.65,775,5.41694
-0.538,55,5.436958
20.8865,198,5.507022
-0.419,53,5.52704
11.0685,116,5.568078
-0.48,56,5.589096
-0.546,60,5.610116
-0.5725,55,5.630134
99.1085,1872,7.056433
-47.2415,547,8.155434
-0.639,69,8.187463
-0.5175,58,8.215489
-0.4915,59,8.242513
-4.8785,173,8.323587
-2.753,126,8.369629
26.5285,1374,8.87509
-0.9305,76,8.904116
-0.5525,58,9.735873
-1.03,76,9.768903
-0.59,57,9.792925
-0.609,66,9.822953
557.362,4161,13.000351
-16.855,333,13.140478
11.417,294,13.249578
-37.491,480,13.421735
132.7935,1295,14.694895
-0.5305,58,14.715913
10.4065,693,14.969144
-0.7185,66,14.993166
-0.5015,54,15.012183
-0.6565,59,15.09626
-0.6425,61,15.121283
-1.705,104,15.161319
-9.2625,246,15.250401
59.9165,727,16.301358
-7.1915,368,16.431476
-0.825,73,16.458501
-0.693,65,16.481522
-1.571,107,16.521558
-1.919,117,16.565598
-0.425,61,16.588619
-0.465,63,16.612641
-25.6675,395,16.76478
45.273,486,17.718648
6.6395,158,17.781706
-0.895,67,17.805728
-10.4905,244,17.893808
-13.275,318,18.009915
21.5645,188,18.076975
-0.4055,56,18.096993
0.9715,749,19.156959
58.1715,330,19.298087
-19.629,353,19.43321
5.624,241,19.519289
-16.6975,323,19.636395
-0.6605,56,19.656414
-7.033,198,19.731482
-1.65,100,19.767515
-0.619,60,19.788534
-3.0065,137,19.837579
-0.3495,55,19.857597
6.4605,711,20.93658
45.9675,460,21.136265
-0.5475,58,21.158285
-0.5595,57,21.181307
-11.5095,270,21.280397
-8.787,220,21.359468
-0.717,59,21.380488
-3.1185,146,21.432535
-3.126,138,21.482581
-15.9705,433,22.457469
-0.4725,58,22.483493
13.988,536,22.691683
-0.591,58,22.712701
-0.836,68,22.736723
217.833,1385,24.102968
-2.662,124,24.149009
1.406,504,24.333177
-0.594,61,24.355197
-0.5765,58,24.377218
-3.7895,150,24.434269
-0.587,60,24.45729
-2.179,590,24.667482
-0.731,69,25.427173
-1.139,77,25.458201
-37.814,1520,26.021715
385.331,1385,27.251836
-0.5385,58,27.272855
-0.5725,62,27.294875
-1.1595,86,27.326905
24.47,184,27.393965
-0.779,63,27.416986
-0.748,62,27.439006
-0.677,67,27.463028
-0.4675,55,27.483046
-0.665,64,27.506067
24.924,436,28.379863
-5.2405,167,28.449927
60.3675,584,28.676133
-0.527,55,28.696151
-70.8915,1424,29.981322
-71.6985,1468,30.539831
-0.439,53,30.559848
26.2475,1387,31.769455
19.133,340,31.894569
-0.777,62,31.916589
-3.977,138,31.965633
-3.7365,139,32.015679
-0.7235,62,32.037699
-0.5035,62,32.06072
423.4215,552,32.995572
47.3925,497,33.183743
-0.572,52,33.203761
-5.6955,193,33.272824
-5.8675,205,33.345891
-0.413,56,33.36691
1062.546,3031,36.011319
-0.4395,58,36.03534
-23.3445,376,36.176469
-9.4955,254,36.267552
-0.569,64,36.290573
-0.5105,55,36.310592
-19.4555,358,36.437707
-4.005,151,36.491756
-0.6165,61,36.513776
287.4905,875,37.570739
-0.4605,61,37.592759
48.9895,600,37.813961
7.1285,799,38.095217
-0.827,69,38.850905
-2.5045,121,38.90095
-0.545,58,38.924972
-14.635,774,39.209232
-0.609,59,39.231251
-0.7245,74,39.257275
5.491,752,39.524518
-0.572,54,39.544537
-2.66,122,39.587576
-24.3085,404,40.467381
25.5215,442,40.628529
21.9915,204,40.701595
51.056,349,40.825708
-0.707,78,40.854734
-12.9945,264,40.947819
45.7045,913,42.033808
-0.84,63,42.05683
9.8865,280,42.15592
40.912,567,42.357103
-0.6925,59,42.378122
-0.4285,51,42.39714
-0.549,55,42.417158
-0.603,58,42.438177
33.446,321,43.306968
-15.467,470,43.503147
-1.033,75,43.53918
-0.715,59,43.564202
88.272,489,43.754376
21.7815,257,43.852465
-0.5485,53,43.872483
1003.536,1612,45.298286
-4.001,153,45.352335
-0.6735,61,45.375356
-42.099,492,45.548514
-18.19,295,45.652608
-4.478,153,46.448333
4.975,711,46.722583
33.2475,372,46.856705
1287.2445,3557,49.701296
-0.339,55,49.721314
37.1965,385,49.861442
-0.857,71,49.891469
6.366,617,50.115673
62.1675,832,51.155621
-0.6005,63,51.178642
9.6185,107,51.216676
94.6675,501,51.394839
1076.878,964,52.460809
-2.811,132,52.513858
221.8795,1147,52.979282
-9.572,242,53.06436
-22.5495,340,53.187472
-20.8425,359,54.150348
-0.441,53,54.18538
17.863,378,54.334516
14.0635,256,54.427601
385.7795,311,54.54671
-4.29,145,54.608766
-0.4225,54,54.628785
-21.075,857,55.741804
242.1965,1743,56.435998
-0.6505,61,57.179243
-1.381,100,57.224284
7.274,148,57.291345
-50.889,516,57.503539
-5.413,356,57.650672
-0.7415,68,57.677697
41.43,524,57.867871
-0.4395,62,57.88989
8.6435,390,58.78971
10.976,211,58.883304
7.7065,684,59.133033
216.493,954,59.496364
-0.539,52,60.321122
-0.7335,62,60.346145
-0.389,52,60.445235
-2.49,121,60.499285
-16.8035,427,60.654426
-8.5065,413,60.814572
3.536,305,60.934681
63.195,992,62.011662
21.8975,303,62.124268
411.2985,1210,62.548239
116.2045,1077,63.727826
-12.5615,822,64.102671
62.0715,442,65.005549
-19.262,329,65.153684
-6.596,847,65.454959
-3.9265,168,65.514013
-3.0195,137,65.562056
52.109,299,65.666151
29.605,271,66.468882
-3.176,375,66.638049
29.5515,451,66.796193
-14.535,802,67.076448
61.34,301,67.183546
-2.2955,833,68.212483
12.9145,299,68.317579
-8.0645,218,68.394649
61.017,342,68.516784
