#{"t_start": 1701784901.7282495, "env_id": "None"}
r,l,t
-9.021,155,30.534497
-9.543,256,30.626581
-2.333,58,30.6476
-4.764,155,30.701649
-1.689,58,30.721667
-44.258,511,31.735588
-1.771,58,31.760611
-16.732,341,31.91375
-2.165,58,31.940775
-22.861,346,32.065889
-2.451,58,32.088909
-0.582,60,32.11193
-1.755,161,32.168982
-0.523,60,32.190001
-129.205,926,33.375077
-0.326,60,33.4001
-0.33,60,33.42212
-7.301,155,33.485178
-41.723,508,33.664341
-0.252,60,33.68536
-23.035,428,33.85051
-7.177,155,33.919573
-2.278,58,33.942594
-9.024,252,34.034678
-6.39,155,34.095733
-9.421,155,34.912475
-5.395,155,34.978534
-8.04,155,35.041592
-2.959,252,35.133676
-10.037,155,35.188726
-2.145,58,35.210746
-2.1,58,35.230764
-6.454,155,35.285815
-50.602,511,35.464977
-24.297,349,35.586087
-1.499,58,36.436861
-1.929,58,36.460882
-1.389,58,36.483902
-9.633,155,36.54696
-0.232,60,36.569981
-5.611,155,36.632038
-2.171,58,36.653057
-0.588,60,36.674076
-3.692,252,36.763157
-2.197,58,36.783175
-1.585,58,36.809199
-11.191,341,36.95333
-4.35,155,37.011383
-7.262,252,37.102465
-22.571,432,38.142914
-7.534,432,38.313069
-4.687,155,38.368119
-7.017,155,38.425171
-5.03,155,38.480221
-4.967,155,38.535271
-1.494,58,38.555289
-24.158,348,38.676399
-8.739,254,38.764479
-7.402,155,38.828537
-2.544,163,39.691321
-8.161,155,39.752376
-8.131,155,39.820438
-1.662,58,39.848464
-4.074,155,39.917526
-3.473,155,39.980584
-6.792,155,40.038637
-14.28,513,40.222804
-1.865,58,40.243823
-1.112,58,40.263842
-2.366,58,40.284861
-13.352,341,40.402968
-5.275,155,41.275761
-5.946,155,41.338818
-0.352,60,41.361839
-2.089,58,41.385861
-2.341,58,41.409883
-1.429,58,41.431902
1.303,252,41.521985
-0.458,60,41.544005
-0.468,60,41.565024
-8.048,252,41.653104
-2.225,58,41.674123
-3.633,252,41.761202
-2.111,58,41.78122
-8.324,164,41.854287
-1.413,58,41.879309
-0.449,60,41.907335
-1.811,58,41.93436
-1.223,58,41.961384
-0.343,60,41.985405
-0.241,60,42.006425
-1.957,58,42.027444
-2.083,58,42.800147
-0.196,60,42.828171
-1.969,58,42.858199
-1.28,58,42.885223
-0.288,60,42.913249
-0.391,60,42.941274
-5.564,255,43.038363
-7.374,163,43.099418
-9.924,344,43.221529
-1.172,58,43.243549
-3.569,155,43.297598
-9.096,155,43.352648
-1.312,58,43.372666
-0.39,60,43.393686
-7.275,155,43.447735
-1.768,58,43.468754
-13.639,341,44.425623
-5.826,156,44.485677
