#{"t_start": 1701792044.9741695, "env_id": "None"}
r,l,t
-0.001,1,0.344313
-0.001,1,0.347316
-0.001,1,0.347316
0.0,1,0.348317
-0.001,1,0.349318
-0.001,1,0.350319
-0.001,1,0.351319
-0.001,1,0.35232
-0.001,1,0.353321
-0.001,1,0.354322
-0.001,1,0.354322
-0.001,1,0.355323
-0.001,1,0.356324
-0.001,1,0.357325
-0.001,1,0.358326
-0.001,1,0.359327
-0.001,1,0.359327
0.0,1,0.360327
-0.001,1,0.361329
-0.001,1,0.362329
0.0,1,0.36333
0.0,1,0.36333
-0.001,1,0.364331
0.0,1,0.365332
-0.001,1,0.366333
-0.001,1,0.367334
-0.001,1,0.368335
-0.001,1,0.368335
-0.001,1,0.369336
-0.001,1,0.370337
-0.001,1,0.371338
-0.001,1,0.372339
0.0,1,0.37334
0.0,1,0.37434
-0.001,1,0.37434
-0.001,1,0.375341
0.0,1,0.376342
-0.001,1,0.377343
-0.001,1,0.378344
-0.001,1,0.379345
0.0,1,0.379345
-0.001,1,0.380346
-0.001,1,0.381347
-0.001,1,0.382348
-0.001,1,0.383349
-0.001,1,0.383349
0.0,1,0.38435
-0.001,1,0.38535
-0.001,1,0.386351
-0.001,1,0.387352
-0.001,1,0.387352
-0.001,1,0.388353
-0.001,1,0.389354
-0.001,1,0.390355
0.0,1,0.391356
-0.001,1,0.391356
-0.001,1,0.392357
-0.001,1,0.393358
-0.001,1,0.394359
0.0,1,0.395359
0.0,1,0.395359
-0.001,1,0.39636
-0.001,1,0.397361
-0.001,1,0.398362
-0.001,1,0.399363
-0.001,1,0.399363
-0.001,1,0.400364
-0.001,1,0.401365
0.0,1,0.402366
-0.001,1,0.403367
-0.001,1,0.403367
-0.001,1,0.404368
0.0,1,0.40537
0.0,1,0.40637
0.0,1,0.40737
-0.001,1,0.40737
-0.001,1,0.408371
-0.001,1,0.409372
-0.001,1,0.410373
-0.001,1,0.411374
-0.001,1,0.411374
-0.001,1,0.412375
-0.001,1,0.413376
-0.001,1,0.414377
0.0,1,0.414377
-0.001,1,0.415378
-0.001,1,0.416379
-0.001,1,0.417379
-0.001,1,0.41838
-0.001,1,0.41838
-0.001,1,0.419381
-0.001,1,0.420382
-0.001,1,0.421383
0.0,1,0.422384
-0.001,1,0.422384
-0.001,1,0.423385
-0.001,1,0.424386
-0.001,1,0.425387
0.0,1,0.426388
-0.001,1,0.426388
0.0,1,0.427388
-0.001,1,0.42839
-0.001,1,0.42939
-0.001,1,0.430391
-0.001,1,0.430391
-0.001,1,0.431392
-0.001,1,0.432393
-0.001,1,0.433394
-0.001,1,0.434395
-0.001,1,0.434395
0.0,1,0.435396
-0.001,1,0.436397
-0.001,1,0.437398
-0.001,1,0.438399
-0.001,1,0.438399
-0.001,1,0.439399
-0.001,1,0.440401
0.0,1,0.441401
-0.001,1,0.442402
0.0,1,0.442402
-0.001,1,0.443403
-0.001,1,0.444404
0.0,1,0.445405
0.0,1,0.446406
-0.001,1,0.446406
0.0,1,0.447407
-0.001,1,0.448408
0.0,1,0.449409
0.0,1,0.45041
0.0,1,0.45041
-0.001,1,0.451411
0.0,1,0.452411
-0.001,1,0.453412
-0.001,1,0.454413
-0.001,1,0.454413
-0.001,1,0.455414
0.0,1,0.456415
-0.001,1,0.457416
-0.001,1,0.458417
-0.001,1,0.458417
-0.001,1,0.459418
0.0,1,0.460419
-0.001,1,0.46142
-0.001,1,0.462421
-0.001,1,0.462421
0.0,1,0.463421
0.0,1,0.464422
-0.001,1,0.465423
0.0,1,0.465423
-0.001,1,0.466424
-0.001,1,0.467425
-0.001,1,0.468426
-0.001,1,0.469427
-0.001,1,0.470428
0.0,1,0.471429
-0.001,1,0.471429
0.0,1,0.47243
-0.001,1,0.47343
0.0,1,0.474431
-0.001,1,0.475432
-0.001,1,0.475432
-0.001,1,0.476433
-0.001,1,0.477434
-0.001,1,0.478435
0.0,1,0.479436
0.0,1,0.479436
-0.001,1,0.480437
-0.001,1,0.481438
-0.001,1,0.482439
-0.001,1,0.48344
-0.001,1,0.48344
0.0,1,0.48444
-0.001,1,0.485441
-0.001,1,0.486442
0.0,1,0.487443
-0.001,1,0.487443
-0.001,1,0.488444
-0.001,1,0.489445
-0.001,1,0.490446
0.0,1,0.491447
0.0,1,0.491447
0.0,1,0.492448
-0.001,1,0.493449
0.0,1,0.49445
-0.001,1,0.49545
0.0,1,0.496451
0.0,1,0.496451
-0.001,1,0.497452
0.0,1,0.498453
-0.001,1,0.499454
0.0,1,0.500455
-0.001,1,0.501456
-0.001,1,0.502457
-0.001,1,0.503458
0.0,1,0.503458
-0.001,1,0.504459
-0.001,1,0.50546
0.0,1,0.506461
-0.001,1,0.506461
-0.001,1,0.507461
-0.001,1,0.508462
-0.001,1,0.509463
-0.001,1,0.510464
-0.001,1,0.511465
-0.001,1,0.512466
0.0,1,0.512466
-0.001,1,0.513467
0.0,1,0.514468
0.0,1,0.515469
-0.001,1,0.51647
-0.001,1,0.51647
-0.001,1,0.517471
-0.001,1,0.518471
-0.001,1,0.519472
0.0,1,0.520473
-0.001,1,0.520473
-0.001,1,0.521474
-0.001,1,0.522475
0.0,1,0.523476
-0.001,1,0.524477
-0.001,1,0.524477
0.0,1,0.525478
-0.001,1,0.526479
0.0,1,0.52748
-0.001,1,0.528481
-0.001,1,0.528481
