#{"t_start": 1702148700.5339596, "env_id": "None"}
r,l,t
170.0691,712,0.672613
-0.212,55,0.704642
-0.2322,56,0.73567
438.75,510,1.024933
-0.269,63,1.059966
-0.9299,115,1.124024
-1.2394,141,1.202095
924.0875,742,2.559331
-5.6459,287,2.719476
-0.2193,58,2.752507
120.7219,262,2.909651
-0.6999,102,2.966702
-0.2193,58,2.999732
-0.2051,55,3.030761
-0.2647,62,3.065793
-0.3432,71,3.105829
-0.2237,58,3.137858
-1.5787,152,3.220934
-7.8355,345,3.412108
292.8882,392,4.532128
-0.2112,61,4.571163
-0.2482,60,4.6112
-0.4473,83,4.657242
185.8352,252,4.795368
-0.3108,67,4.833402
-8.102,355,5.102648
74.8671,131,5.175714
-0.2389,58,5.207743
183.3029,242,5.343371
-0.2801,63,5.378403
82.7447,523,6.587504
352.1107,785,7.048925
-0.1935,59,7.081955
40.9938,469,7.3512
85.8446,138,7.42727
424.3397,657,8.742467
-0.3475,71,8.787508
-0.3158,73,8.836553
-8.5273,348,9.031731
-0.2561,60,9.065762
-0.5061,85,9.113806
-1.438,144,9.193879
-5.5217,281,9.34902
70.5508,335,9.532187
-0.3564,76,9.574225
-0.2694,61,9.608256
-2.6157,199,9.721359
-0.2766,66,9.770404
-0.2265,59,9.803434
-0.1491,51,9.833461
-0.2592,60,10.795337
-0.2045,58,10.836374
-0.1658,57,10.873408
-0.3747,74,10.922453
-0.3121,73,10.969497
-0.546,91,11.021544
881.1007,1043,11.622595
-2.5194,202,11.733696
-0.3242,68,11.771731
-0.2233,58,11.804761
791.6457,782,13.215045
-0.1869,59,13.249077
-0.2801,63,13.285109
-4.6449,267,13.437248
-0.1908,63,13.47228
-0.5953,97,13.533336
-4.5444,269,13.696484
466.4626,682,14.092845
-0.6916,106,15.13079
-5.5229,289,15.31696
-0.3193,68,15.355996
-0.2491,64,15.392029
-0.1881,55,15.424058
61.1832,110,15.485113
-0.2292,62,15.524149
-1.4185,149,15.621237
-0.3728,75,15.667279
-0.1599,55,15.697307
-0.5441,92,15.750355
-3.5529,232,15.880474
-0.2437,65,15.917507
-0.1897,57,15.950537
-0.2249,61,15.984568
-0.1979,58,16.017598
417.7063,489,16.287844
-0.2673,64,17.258728
-0.2829,65,17.301768
-1.1692,135,17.390849
-0.4558,82,17.442896
-1.154,124,17.51296
-0.5613,92,17.565008
1250.4115,942,18.092489
-0.3655,79,18.136528
-0.2567,65,18.173562
-1.5161,149,18.255637
459.2659,576,19.58785
-4.2403,240,19.728979
102.6473,424,19.969197
-0.2205,58,20.00523
-2.823,203,20.119334
-0.2534,61,20.154366
-0.1881,57,20.187396
-3.9318,243,20.327524
-0.1837,53,20.368562
-6.6944,312,20.547724
-0.2212,60,20.582757
-5.1318,267,21.733805
-0.2546,60,21.77284
-0.2441,58,21.806872
-0.2484,59,21.840903
-1.8724,167,21.934988
-0.2899,64,21.971021
518.6568,890,22.485489
-0.2907,65,22.521522
1211.7125,1177,24.210564
-0.6644,94,24.268617
-0.2744,60,24.30565
-0.2325,58,24.341683
-1.8031,161,24.441775
1056.1734,1257,26.174352
-0.2502,60,26.210386
237.8488,427,26.527675
-0.3056,63,26.56671
-0.2661,63,26.602743
-0.2246,60,26.636774
-0.1887,56,26.669804
-0.2532,63,26.704836
-0.2874,65,26.742871
-0.3073,65,26.781906
-0.1791,55,26.817939
-0.2982,65,26.855973
-0.1987,53,26.887002
215.7509,276,27.03914
476.2889,736,28.458433
-0.2631,63,28.495467
-2.9371,202,28.610572
-1.1841,130,28.68564
-0.2413,61,28.719671
-0.274,61,28.753702
-0.3092,66,28.791737
