#{"t_start": 1702208634.6197934, "env_id": "None"}
r,l,t
-10.0045,63,0.26424
-10.0034,58,0.28626
9.9965,57,0.306279
-10.0265,393,0.445405
-10.0084,134,0.492448
10.1807,288,0.594541
-9.6384,580,0.798764
-10.009,147,0.850867
9.9951,76,0.878927
-10.017,258,1.652132
-9.8239,348,1.787255
-10.0105,144,1.846308
-9.657,852,2.148584
-10.012,189,2.215645
10.2751,1843,3.60992
-10.011,162,3.667973
-10.0084,131,3.715015
-10.021,308,3.824115
-10.0039,56,3.845134
-9.6377,531,4.803005
-10.004,62,4.826026
-10.0043,61,4.849047
-10.0042,63,4.872068
-10.0046,56,4.893087
-9.8104,157,4.949138
-9.6357,531,5.144316
-10.0151,224,5.224389
-10.0042,62,5.24741
-9.8444,652,6.21279
-10.0038,57,6.237813
-10.0083,147,6.297868
-10.0071,117,6.340908
-10.032,443,6.504056
-10.0091,145,6.564117
-10.0222,334,6.692234
-10.0037,56,6.712252
-9.8132,216,6.792325
9.9969,56,6.813344
-10.0161,239,7.639145
-10.0058,90,7.67818
-9.8369,557,7.903386
-10.0042,63,7.926407
-10.004,61,7.949428
-9.8654,938,8.283284
-10.0053,76,8.311311
-10.007,104,8.349344
-10.0051,67,8.374367
-10.0192,259,9.182606
-10.0043,57,9.207628
-10.0035,62,9.234653
-10.0184,262,9.334744
-10.0045,57,9.355763
9.9962,55,9.375781
-9.8067,93,9.408812
-9.8567,828,9.705081
-10.0044,63,9.728102
-10.0055,75,9.755126
-10.0181,284,10.584881
-10.0059,77,10.61691
9.9958,56,10.637929
-9.8691,956,10.992252
-10.0052,85,11.02328
-10.0092,135,11.071324
-10.0317,434,11.225464
-9.8477,691,12.186342
-10.0111,161,12.247398
-10.0049,69,12.276425
-10.0131,174,12.339489
-10.0108,149,12.393055
-10.0039,63,12.416075
-10.0046,61,12.438096
-10.0079,129,12.485138
-10.0041,53,12.505157
-9.8334,487,12.678333
-10.0101,133,12.726377
-10.0044,60,12.749398
-10.0263,365,13.616688
-10.018,279,13.728791
-10.0261,365,13.85991
-10.0041,62,13.88193
-10.0141,218,13.961002
10.3478,742,14.229246
-10.0247,352,15.115566
-10.0058,99,15.157605
-10.0133,193,15.233675
-10.0244,341,15.354785
-10.0097,128,15.400827
-10.0032,59,15.421846
9.9957,76,15.449871
-10.0036,55,15.46989
-10.0054,67,15.493911
-10.0046,63,15.516932
-10.0042,61,15.539953
-10.0042,62,15.561973
-10.003,57,15.582992
10.1819,257,15.675076
-10.004,57,15.696095
-10.0046,70,15.721118
9.9958,64,15.744139
-10.0049,73,15.771164
-10.0045,69,16.541864
-10.0227,318,16.673985
-10.0106,167,16.741046
-10.0124,187,16.808107
9.9962,65,16.832129
-10.0148,205,16.905195
9.9953,64,16.929217
-10.0134,234,17.012293
-10.0034,53,17.032311
-10.0047,70,17.057333
-10.0099,169,17.117388
-10.0053,82,17.147415
-10.0047,70,17.172438
-10.0226,360,18.105286
-10.0048,59,18.13131
9.9964,64,18.159336
-10.0245,372,18.317479
-10.0124,203,18.389545
-10.0048,65,18.413567
9.9957,64,18.436588
-10.0097,131,18.484632
9.9962,60,18.506652
-10.0044,71,18.532676
-10.0042,60,18.554695
9.996,65,18.578717
-10.0081,113,18.619755
9.9959,54,18.639773
-10.0214,322,18.754878
-9.8174,238,18.840956
-10.0039,61,18.865979
-10.0099,176,19.638681
-10.0042,59,19.661702
-10.0147,255,19.75879
-10.0034,58,19.782813
-10.0129,211,19.859883
10.1906,121,19.903923
-10.003,57,19.923941
-10.0105,180,19.989
-10.0119,157,20.045051
-10.0268,374,20.179173
10.3829,247,20.266252
-10.0046,57,20.287271
-10.0046,64,20.311293
-10.0066,95,21.054969
-10.0035,56,21.078991
-9.4478,695,21.349237
-10.0036,59,21.371257
-10.0253,354,21.498373
-10.004,57,21.519392
10.1921,114,21.56243
-10.0076,106,21.60447
-10.0044,61,21.62649
