#{"t_start": 1702207266.3098373, "env_id": "None"}
r,l,t
-0.1131,58,0.282257
-0.3813,101,0.31929
-0.2616,83,0.349318
-0.1134,56,0.369335
153.5016,215,0.449409
-0.0964,55,0.470428
-0.1224,63,0.493449
-0.4356,114,0.534486
-0.1157,63,0.557507
-0.126,63,0.580528
-0.1296,60,0.601547
-1.0764,174,0.664604
170.4637,222,0.743677
-0.1351,60,0.765697
-0.1315,59,0.786715
-0.8335,163,0.844769
-3.5217,325,0.959873
-0.1044,59,0.981893
-0.1738,70,1.720564
-0.0727,57,1.744587
270.8967,654,1.991812
-0.1182,59,2.013832
-0.139,65,2.036853
-0.1044,60,2.058872
-0.1416,66,2.082895
-0.1055,57,2.103914
109.0654,164,2.161967
-0.1143,63,2.184987
-0.2422,92,2.219018
-0.1479,68,2.24304
-0.1237,55,2.263058
-0.1467,65,2.288081
-0.1257,64,2.311102
-1.9028,249,2.400183
-0.2127,79,2.428209
-0.1604,66,2.45223
-0.1025,59,3.189901
1835.5936,1195,3.688355
-0.1537,68,3.713377
59.8391,184,3.779438
-0.1118,59,3.801458
-0.1179,62,3.823478
-0.1363,61,3.845498
-0.1101,62,3.868519
-0.3312,95,3.90255
-0.1161,58,3.923569
-0.1344,66,3.947093
-0.1483,62,3.970114
-0.289,98,4.709787
-0.2886,96,4.747821
-0.3396,107,4.788859
-0.1166,59,4.814882
-0.172,75,4.842908
-0.1073,57,4.865929
-0.9573,161,4.925984
-0.0917,52,4.945001
-0.1101,58,4.967021
-0.0936,55,4.986038
-0.1929,82,5.016066
-0.1283,63,5.039087
-0.0832,58,5.060106
-7.3477,484,5.232263
-0.1256,63,5.255283
-0.1028,59,5.276303
347.1946,423,5.42744
-0.1392,66,6.155604
275.0068,341,6.291727
-0.1238,62,6.31675
-0.1087,59,6.342774
326.8995,397,6.486906
-0.1276,61,6.508925
-0.0703,53,6.527943
259.9227,523,6.713111
-0.1166,61,6.735131
-0.1233,56,6.75615
-0.1681,76,6.783175
-0.0993,55,6.803193
-0.1284,60,6.825213
-0.094,55,6.904285
83.3904,136,6.952329
82.3553,138,7.720027
-0.1051,58,7.744048
-0.1027,61,7.770072
-0.1253,58,7.794094
-0.1158,61,7.819117
-0.1086,62,7.843138
-0.1085,60,7.86616
-0.0832,59,7.890182
-0.2242,79,7.919208
-0.1115,60,7.941228
-0.0906,53,7.960245
-0.1204,61,7.982265
-0.1712,75,8.00929
-0.5281,121,8.05333
-0.1348,65,8.077352
-0.5067,125,8.121392
-0.1085,60,8.143412
-0.0973,60,8.165432
-0.1192,61,8.187452
-0.1543,65,8.211474
-0.1323,65,8.235496
-0.2456,85,8.265523
-0.1666,72,8.291547
-0.1405,69,8.31657
-0.1191,59,8.33859
-0.996,180,8.402648
-0.1088,61,8.424668
-0.2409,83,9.175351
-0.1631,67,9.200373
-0.1101,59,9.224395
-0.1063,57,9.247416
-0.1292,59,9.272439
-0.1055,57,9.29546
-0.082,60,9.319482
-0.1074,58,9.344504
-0.0882,62,9.367525
-0.0991,60,9.389545
-0.0926,58,9.410565
-0.1198,64,9.433586
-0.1139,58,9.454605
-0.1042,59,9.476625
-0.7877,161,9.534678
-0.1256,62,9.557699
-0.7289,155,9.612749
-0.3037,99,9.648781
-1.3135,201,9.719846
-0.1589,65,9.742867
-0.1205,58,9.764887
-1.3041,212,9.839955
-0.9266,173,9.902012
-0.123,62,9.924032
-0.1203,58,10.66971
-0.0954,53,10.689728
-0.1464,67,10.714751
-0.1471,65,10.740774
-0.0949,57,10.764796
-0.1206,56,10.785815
-0.097,58,10.809837
-0.1314,63,10.83586
-0.0782,55,10.85688
-0.1231,54,10.876899
-0.1199,57,10.896917
-0.1341,62,10.92294
-0.188,83,10.952968
-0.0987,58,10.973987
-0.1347,67,10.998008
158.5884,214,11.074078
-0.0987,68,11.0981
-0.1523,69,11.123122
-0.1215,62,11.146143
-0.0967,61,11.168164
-0.1373,69,11.193186
-0.0979,65,11.217208
-0.1127,59,11.238227
-0.1026,59,11.259246
-0.1616,66,11.284269
-0.1208,75,11.314296
-0.1162,60,11.337317
-0.1192,63,11.360338
-0.0998,66,11.38436
-0.1211,60,11.40638
-0.1264,60,12.156062
103.2104,159,12.218118
-0.8757,176,12.287181
-0.1028,60,12.310202
-0.1449,61,12.334224
-0.0802,58,12.356244
-0.13,61,12.378264
-0.1347,61,12.400284
-0.1201,60,12.421303
400.1125,480,12.592459
-0.1087,58,12.613478
-0.1342,66,12.6375
-0.1139,66,12.661522
-0.1621,64,12.684543
66.5453,120,12.727582
-0.1064,57,12.749602
-0.1352,61,12.771622
-0.1151,58,12.79164
-0.819,155,12.847691
-1.786,235,13.634406
-0.1432,69,13.661432
-0.1222,55,13.685452
-0.0692,54,13.705471
-0.124,59,13.730494
-0.1752,77,13.760521
-0.7697,182,13.828583
-0.1161,61,13.850603
-0.1587,71,13.876627
-0.1221,64,13.899648
-0.5523,141,13.949196
-0.5328,136,13.998241
-0.1221,61,14.020261
65.6107,122,14.066303
-0.0952,62,14.089324
-1.9972,256,14.18441
-0.0886,61,14.215438
-0.0716,59,14.237459
-0.1233,63,14.260479
-0.0878,64,14.2835
-0.5474,126,14.328542
-0.0873,60,14.350562
-0.0664,52,15.082227
83.28,142,15.14028
-0.3304,98,15.180316
241.8787,337,15.312436
-0.1025,62,15.334456
-0.6705,159,15.392509
-0.3117,98,15.428542
-0.2107,85,15.45957
-0.0989,65,15.482591
-4.2786,355,15.61076
-0.1125,59,15.63332
-0.1462,75,15.661345
-0.1108,68,15.686368
-0.074,56,15.706386
-0.213,87,15.740417
-0.11,63,15.764439
-0.364,118,15.806478
-0.6179,142,16.561163
-0.1274,66,16.585185
-0.1207,61,16.608206
-0.1743,76,16.637233
-0.0811,60,16.660254
-0.0901,69,16.687278
-0.1196,58,16.710299
-0.1309,64,16.738325
-0.1182,58,16.760345
-2.3728,278,16.859435
-0.087,63,16.882456
-0.103,63,16.906478
1106.5628,533,17.094649
-0.3082,93,17.127679
-0.0682,56,17.147698
-4.0489,386,17.286824
-0.3161,119,18.051519
-0.101,67,18.079545
464.2524,586,18.303749
-0.1401,57,18.324768
-0.0728,57,18.344786
-0.1281,60,18.366806
44.4806,318,18.479909
-0.0702,62,18.50293
-0.0961,61,18.52495
520.0702,781,19.538872
-0.1407,64,19.564896
-0.1561,65,19.588917
-0.0962,54,19.609936
91.2375,149,19.667989
-0.0986,54,19.689008
-0.1416,64,19.715033
