#{"t_start": 1702205611.998506, "env_id": "None"}
r,l,t
-0.1397,62,0.27425
-0.1178,55,0.294268
-0.1471,65,0.317288
-0.9792,176,0.379345
-2.8029,285,0.478435
-0.0903,53,0.497452
-0.1185,58,0.518471
-0.1335,61,0.540491
-0.6237,135,0.587534
-0.118,59,0.608554
-0.111,58,0.629573
-0.1266,67,0.653594
-1.1138,187,0.718654
-2.8577,293,0.822748
-1.2656,191,0.889809
-0.094,53,0.908827
1847.9659,1632,2.229028
-0.1318,61,2.251047
-0.1335,62,2.274068
-0.1437,62,2.296088
-0.1041,56,2.317108
-0.1025,58,2.337126
-0.7653,147,2.389173
-0.1393,65,2.412194
-4.4685,371,3.27698
-0.793,156,3.340038
428.5092,752,3.66585
256.7244,314,3.774949
-0.9833,166,3.834003
-0.1136,58,3.854021
-0.0982,54,3.874039
-1.4604,206,3.946105
-0.0889,60,3.968125
-0.3046,95,4.748835
-2.2585,268,4.857934
-0.4727,111,4.904977
-0.5175,124,4.950017
-0.4671,117,4.992056
-2.5619,279,5.090146
-1.9697,243,5.17474
-0.1091,60,5.19676
-0.134,62,5.21878
-3.2589,303,5.325877
-0.0633,51,5.344894
-0.5603,125,5.389935
-0.9919,171,5.44999
-23.591,811,6.493958
-0.1131,60,6.517979
284.5038,754,6.806242
-1.034,169,6.866296
205.8748,370,7.720072
-0.1398,62,7.747097
-0.1163,57,7.770118
-5.3129,403,7.923257
183.6299,256,8.013339
-0.1134,61,8.03636
369.7872,718,8.287589
-0.087,54,8.306606
-0.4555,115,8.347644
-1.4441,207,8.42171
-0.2694,89,9.199418
262.8308,317,9.333539
-3.8004,331,9.457653
-2.9504,307,9.566752
2650.6943,1153,10.70779
-0.7591,149,10.768846
-0.4993,120,10.81789
-0.1389,62,10.842912
109.9044,250,10.992553
-0.5271,124,11.036592
-0.107,57,11.057612
-0.3055,96,11.091643
-3.4291,324,11.205746
-0.128,58,11.226765
-0.099,55,11.246784
221.7754,485,11.416938
-1.0758,182,12.191643
-2.2662,264,12.299741
-0.1166,60,12.323763
687.4425,762,12.603017
-0.4399,112,12.644055
-0.1502,63,12.667076
-0.107,57,12.688095
-0.1486,66,12.713117
-1.6655,225,12.79319
-0.3169,97,12.827221
-0.1124,56,12.848241
-0.5427,128,12.894282
-1.4476,207,13.694511
-0.1185,64,13.721536
-0.1087,64,13.749562
-0.1242,58,13.773583
-1.8548,238,13.872186
-0.1278,59,13.893205
1504.1409,1265,14.341613
461.2357,823,15.372551
-0.3032,95,15.406582
501.8349,563,15.60276
419.8145,485,15.771914
-0.1099,60,15.793934
131.7332,184,15.859994
492.9619,687,16.852898
-2.9352,298,16.957993
-0.8032,156,17.013043
-0.1097,58,17.034062
-1.0233,177,17.09712
-1.1347,190,17.164181
359.2424,547,17.357357
499.767,624,18.385291
-0.1204,65,18.408312
-0.1243,60,18.430332
-0.092,58,18.451351
-0.6223,136,18.499395
73.4328,127,18.544436
-0.5272,127,18.588476
-0.1011,57,18.609495
-0.1275,60,18.631515
-0.142,67,18.654536
-0.1397,62,18.677557
-0.435,114,18.717593
30.5606,362,18.844709
-1.1072,184,19.622416
-0.2953,91,19.662452
-0.1308,61,19.686474
-0.0869,53,19.706493
141.2066,514,19.901186
-2.2803,264,19.995775
501.2428,573,20.196977
-0.1787,75,20.224001
-0.0954,59,20.246021
-2.388,267,20.340107
-0.0922,58,21.075289
216.5684,278,21.193397
-0.3409,103,21.238438
-0.119,62,21.267464
-0.2457,86,21.302496
-3.2017,305,21.411596
-0.0954,59,21.432615
-0.1602,65,21.456637
143.3572,284,21.556728
-0.1006,57,21.577747
-1.0589,178,21.643807
-0.1934,80,21.671833
-0.2302,80,21.700859
-0.3512,98,21.735891
-0.372,104,21.772924
-0.0938,55,21.792943
417.4054,519,22.722788
101.2256,156,22.782843
-0.1314,62,22.804863
306.5076,366,22.93398
-0.2932,96,22.968011
-0.626,135,23.016055
-0.1486,67,23.040077
-2.1429,268,23.134163
-0.1372,62,23.156182
-0.1773,73,23.183207
-0.0749,56,23.203225
-0.9276,162,23.260277
-0.3561,104,23.298312
-3.7588,346,24.162121
-0.1123,59,24.186142
-0.1,56,24.209163
-5.6989,419,24.362303
-0.0935,54,24.38132
-0.1359,63,24.404341
426.3372,788,24.681108
-1.6113,219,24.758178
-0.132,71,24.783201
164.5297,218,25.58493
-0.1543,66,25.612955
-0.2851,98,25.652992
89.9904,494,25.830153
-0.0978,62,25.852174
-0.1464,62,25.874194
-1.4029,204,25.946259
-0.7556,135,25.994303
-0.1611,67,26.018325
583.253,829,27.030245
-0.0931,64,27.056269
-1.1322,189,27.136341
-0.308,98,27.172374
-0.1216,59,27.193393
-0.1184,57,27.215413
-2.5666,291,27.317506
4971.0882,2146,28.800855
-0.1113,57,28.821875
-0.6744,140,28.944987
1096.8853,678,29.181201
232.0896,545,30.10304
-0.1074,54,30.124058
-0.6432,139,30.175106
-0.4506,116,30.216143
-0.1009,53,30.236161
308.5951,368,30.365279
-0.1474,75,30.396307
-0.1348,62,30.419328
-0.0889,57,30.439346
-0.3941,114,30.480383
128.99,180,30.544441
391.7987,589,31.472788
-1.0873,178,31.546855
-0.9821,170,31.61792
165.322,242,31.702998
-5.4914,413,31.84813
177.8063,306,31.956228
80.5315,221,32.034299
-0.135,62,32.056319
-0.7488,144,32.107366
-0.1139,65,32.130387
-0.1282,63,32.155409
-0.0958,62,32.906092
-0.1163,60,32.931114
204.9012,260,33.032206
-0.116,59,33.055228
-0.6497,148,33.110278
1358.2655,879,33.417557
-0.1014,58,33.438576
-0.1095,59,33.459596
-0.3426,100,33.495628
-0.4822,118,33.537667
94.4377,143,33.587712
-1.1261,190,34.389441
469.6405,771,34.690715
-1.2173,208,34.766785
-4.8853,394,34.906912
-0.0796,62,34.931935
-0.3312,94,34.966967
-0.3158,97,35.001998
219.3252,800,36.020925
-0.1616,66,36.04895
-0.1509,67,36.072973
452.5613,658,36.305184
-1.7661,239,36.389261
-0.0749,53,36.408278
-0.3223,102,36.44431
-1.9561,240,36.528387
-2.1237,267,37.340125
-0.1087,54,37.364147
-0.1232,60,37.389169
292.0587,347,37.5323
-0.0948,59,37.553319
-0.1188,59,37.574338
-0.1043,64,37.597359
-0.1345,78,37.625385
-0.1395,63,37.647404
-0.0921,70,37.672427
2613.8613,1649,39.001642
55.8379,181,39.065701
111.1289,170,39.125755
-0.0736,53,39.145773
-0.2915,99,39.180805
-0.09,55,39.201824
491.6857,601,39.422539
609.8172,683,40.442467
190.2441,244,40.536553
-0.1086,59,40.557572
-1.9628,267,40.651657
278.2622,337,40.771766
-0.1264,71,40.79779
-0.3786,105,40.835825
4790.7077,2004,42.275134
-2.1958,254,42.364215
-0.0846,53,42.383232
2375.8177,1325,43.674407
-0.5995,136,43.72245
461.3596,520,43.904616
-1.0281,172,43.965672
-1.1428,181,44.02973
-0.1458,69,44.054752
464.7928,646,45.01863
536.7594,705,45.265854
-0.1199,64,45.288875
-0.1273,62,45.311896
-1.2193,186,45.376955
-0.7094,146,45.428002
-0.0904,63,45.451023
-0.0991,58,45.472042
-3.3406,315,46.308802
-0.0927,57,46.333825
-0.1048,59,46.359849
-2.3226,265,46.462943
-0.1799,71,46.487966
-0.4543,118,46.531005
-0.1254,61,46.553025
-0.9275,168,46.612078
-2.6377,293,46.716173
-0.3083,94,46.749204
-0.1094,56,46.770223
-4.9407,386,46.909349
134.4272,227,46.989422
-0.1421,60,47.715082
-0.9911,180,47.787147
-0.0832,55,47.812171
-0.0945,56,47.836192
1477.2787,1041,48.210048
-0.5162,134,48.257091
-11.0881,602,49.191941
-0.3233,98,49.230976
8410.5838,2704,50.963552
-3.2165,303,51.069649
-0.1408,62,51.091669
-0.1243,60,51.113689
-0.1237,58,51.134708
-0.1157,64,51.157729
483.7781,593,51.364918
-0.1148,62,51.386938
1133.0375,915,52.486938
-0.3268,100,52.522971
-1.0231,172,52.585027
417.8731,484,52.759186
-0.1141,60,52.781206
-0.591,136,52.82925
-0.4482,117,52.870287
-3.7935,340,53.717057
-0.1459,66,53.74308
-0.156,70,53.771106
422.4969,661,54.007321
-0.5485,132,54.053363
-0.1334,64,54.076384
-0.1739,64,54.175474
504.647,591,54.382662
-0.2596,92,54.415693
-0.7917,153,55.236439
-0.1705,65,55.264464
-0.1432,62,55.290488
-2.3069,263,55.393593
1238.9639,894,55.708881
-0.7084,153,55.76293
-0.5395,130,55.808971
-0.1316,64,55.831992
153.6431,206,55.905059
-3.2094,299,56.74182
-0.3412,105,56.78586
-0.0998,58,56.810883
-0.1357,63,56.838908
-0.0939,57,56.861929
575.9964,837,57.161201
-0.1325,66,57.184222
-0.1433,69,57.210246
-0.0977,61,57.232266
-0.1453,63,57.255287
2475.3314,1604,58.613522
-0.1302,63,58.636544
563.9828,648,58.86375
-0.1188,69,58.888773
1390.3709,1181,60.045825
-0.1251,63,60.067845
-0.0706,56,60.088864
-0.0972,60,60.109884
2457.7877,1676,61.441597
-2.8567,283,61.581725
88.4581,140,61.63177
-1.9206,210,61.705838
-0.1071,58,61.726857
-0.2592,94,61.759887
-0.118,64,61.782908
-0.0873,53,61.802926
591.2323,1018,62.948968
-2.4305,260,63.041052
155.7429,213,63.116121
-1.3932,238,63.200197
-0.4359,104,63.237231
20.7486,298,63.343327
