#{"t_start": 1674390088.3221908, "env_id": null}
r,l,t
-37.720979,2,3.880522
-34.466138,5,3.882524
-28.747825,11,3.886528
-35.137152,5,3.888529
-37.710427,2,3.889531
-37.67138,2,3.890531
-33.248602,6,3.892534
-38.356083,2,3.893533
-32.746358,8,3.895535
-37.0,3,3.897537
-39.0,1,3.897537
-36.4,4,3.898538
-38.365212,2,3.899539
-39.0,1,3.90054
-34.434491,5,3.901541
-37.608305,2,3.902542
-39.0,1,3.902542
-34.009518,6,3.904543
-33.454626,7,3.907546
-37.0,3,3.908547
-24.348319,16,3.912551
-38.204161,2,3.913552
-37.712596,2,3.914553
-38.362264,2,3.915553
-39.0,1,3.915553
-29.456656,11,3.918556
-39.0,1,3.919557
-39.0,1,3.919557
-30.910501,11,3.923561
-37.927558,2,3.923561
-38.158545,2,3.924562
-39.0,1,3.924562
-39.0,1,3.925563
-37.736672,2,3.926564
-34.012392,6,3.928565
-39.0,1,3.928565
-32.25895,8,3.930567
-34.305552,5,3.932569
-33.954066,7,3.934571
-37.0,3,3.935572
-29.43149,10,3.938574
-35.639435,4,3.940576
-31.737198,7,3.942578
-20.123192,23,3.949584
-35.96022,4,3.950585
-27.920526,14,3.954589
-39.0,1,3.95559
-34.861525,6,3.957592
-20.005114,17,3.962596
-39.0,1,3.962596
-37.815251,2,3.963597
-34.434315,5,3.964598
-38.206822,2,3.965599
-39.0,1,3.9666
-29.209157,12,3.969603
-36.263328,4,3.971604
-37.0,3,3.972605
-37.0,3,3.973606
-35.660185,4,3.974607
-39.0,1,3.974607
-36.23404,4,3.976609
-37.0,3,3.97761
-39.0,1,3.97761
-37.0,3,3.978611
-37.0,3,3.979612
-35.188628,6,3.981613
-33.647074,6,3.983615
-35.78604,4,3.984616
-37.0,3,3.985617
-35.558656,5,3.987619
-39.0,1,3.987619
-37.712596,2,3.98862
-37.66482,2,3.98862
-35.972797,4,3.990622
-38.396244,2,3.990622
-37.0,3,3.991622
-31.953124,9,3.994625
-37.802858,2,3.995626
-29.760548,9,3.998629
-38.270963,2,3.998629
-38.21015,2,3.99963
-37.0,3,4.000631
-39.0,1,4.001631
-37.838593,2,4.001631
-38.29226,2,4.002633
-39.0,1,4.002633
-39.0,1,4.003633
-39.0,1,4.003633
-37.0,3,4.004634
-39.0,1,4.004634
-37.602089,2,4.005635
-37.0,3,4.006636
-38.359674,2,4.007637
-34.743226,6,4.009639
-35.707145,4,4.01064
-27.439929,14,4.014643
-38.255936,2,4.015644
-36.4,4,4.016645
-36.049599,4,4.018647
-31.71638,9,4.020649
-34.588854,6,4.022651
-35.564978,5,4.024653
-36.375072,4,4.025653
-35.741347,4,4.026654
-33.602749,6,4.028656
-39.0,1,4.029657
-37.661373,2,4.029657
-27.587854,14,4.034662
-34.983624,6,4.036663
-25.327864,13,4.040667
-37.0,3,4.041667
-35.670758,4,4.042668
-37.722393,2,4.04367
-37.670138,2,4.04367
-39.0,1,4.044671
-39.0,1,4.044671
-34.756015,6,4.046672
-39.0,1,4.046672
-35.924513,4,4.048674
-33.156527,7,4.050676
-38.096959,2,4.051677
-38.339815,2,4.051677
-37.0,3,4.052678
-32.748275,7,4.05468
-39.0,1,4.055681
-34.657326,5,4.056682
-39.0,1,4.057683
-39.0,1,4.057683
-39.0,1,4.058683
1.0,2,4.058683
-39.0,1,4.059685
-39.0,1,4.059685
-38.279554,2,4.060685
-30.381935,10,4.063688
-35.546209,5,4.06569
-34.518175,6,4.066691
-37.0,3,4.067692
-32.264968,8,4.070694
-35.678932,4,4.071695
-39.0,1,4.072696
-37.0,3,4.073697
-34.232664,7,4.075699
-37.0,3,4.0767
-39.0,1,4.0767
-39.0,1,4.077701
-34.242636,6,4.078702
-29.24466,11,4.082705
-39.0,1,4.082705
-35.712596,4,4.084707
-35.634788,4,4.085708
-37.0,3,4.086709
-36.014268,4,4.08771
-34.83475,5,4.089711
-32.203013,7,4.091713
-32.459559,7,4.093715
-39.0,1,4.094716
-39.0,1,4.094716
-36.366243,4,4.095717
-37.821291,2,4.096718
-37.62862,2,4.097719
-39.0,1,4.097719
-35.731432,4,4.09872
-33.052702,8,4.101722
-25.443576,15,4.105726
-33.336914,7,4.108729
-39.0,1,4.108729
-37.0,3,4.10973
-29.412492,10,4.112732
-37.0,3,4.113734
-36.39828,4,4.114734
-33.784318,7,4.117737
-37.0,3,4.118738
-37.0,3,4.119739
-34.892243,6,4.121741
-37.0,3,4.122742
3.4,4,4.123743
-38.160107,2,4.124743
-36.368589,4,4.125744
-35.619523,4,4.126745
-34.849645,5,4.128747
-37.0,3,4.129748
-37.0,3,4.130749
-35.18988,5,4.13175
-37.870019,2,4.132751
-34.893234,6,4.134752
-34.630382,5,4.136754
-38.399051,2,4.136754
-29.741347,10,4.139757
-31.878597,7,4.14276
-39.0,1,4.14276
-39.0,1,4.14276
-36.376877,4,4.144762
-38.4,2,4.144762
-39.0,1,4.145763
-30.601452,8,4.147764
-36.225226,4,4.149766
-39.0,1,4.149766
-37.655929,2,4.150767
-38.106915,2,4.151768
-24.931632,14,4.155771
-29.747942,10,4.158774
-39.0,1,4.158774
-38.201159,2,4.159775
-39.0,1,4.160776
-37.760063,2,4.160776
-37.605674,2,4.161777
-39.0,1,4.161777
-39.0,1,4.162778
-39.0,1,4.162778
-39.0,1,4.162778
-30.307069,9,4.165781
-29.388854,12,4.169784
-37.0,3,4.170785
